date	CONT1210_23304	CONT1211_21438	CONT1221_20926	CONT1311_20929	CONT1321_20927	CONT1411_17203	CONT1412_20975	CONT1412C_20957	CONT1412C_20962	CONT1412C_20963	CONT1412C_20964	CONT1413_20931	CONT1413_20932	CONT1413_20933	CONT1413_25449	CONT1413_27828	CONT1441_23914	CONT1461_23338	CONT2121_27825	CONT2121_27826	CONT2121_27827	CONT2212_27821	CONT2322_23915	CONT2413_23916	CONT2421_20930	CONT2462_23917
1707271720	0	34	1	54	43	34	0	0	0	0	0	1	0	0	0	0	55	10	1	0	0	13	37	29	26	20
1707271802	0	34	1	54	43	34	0	0	0	0	0	1	0	0	0	0	55	10	1	0	0	13	37	29	26	20
1707272002	0	34	1	54	43	34	0	0	0	0	0	1	0	0	0	0	55	10	1	0	0	13	37	29	26	20
1707272150	0	34	1	54	43	34	0	0	0	0	0	1	0	0	0	0	55	10	1	0	0	13	37	29	26	20
1707272237	0	34	1	54	44	34	0	0	0	0	0	1	0	0	0	0	55	10	1	0	0	13	37	29	26	20
1707281100	0	34	0	54	44	34	0	0	0	0	0	0	0	0	0	0	55	10	1	0	0	13	37	29	26	20
1707281233	0	34	0	54	44	34	0	0	0	0	0	0	0	0	0	0	55	10	1	0	0	13	37	29	26	20
1707281457	0	34	0	54	44	34	0	0	0	0	0	0	0	0	0	0	55	10	1	0	0	13	37	29	26	20
1707281621	0	34	0	54	44	34	0	0	0	0	0	0	0	0	1	0	55	10	1	0	0	13	37	29	26	20
1707281911	0	34	0	54	44	34	0	0	0	0	0	0	0	0	1	0	55	10	1	0	0	13	37	29	26	20
