date	CBIO4105_27593	CBIO4106_28203	CBIO4201_27594	CBIO4201C_27595	CBIO4201C_27596	CBIO4300_28204	CBIO4306_27599	CBIO4308_27601	CBIO4310_27603	CBIO4318_27605	CBIO4325_28209	CBIO4326_27609	CBIO4503_27612	CBIO4521_27613	CBIO4523_13103	CBIO4525_27614	CBIO4527_27616	CBIO4528_27617	CBIO4600_13257	CBIO4800_28210	CBIO4800_28692	CBIO4804_12510	CBIO4805_12511	CBIO4806_27621	CBIO4807_27623	CBIO4808_27625	CBIO4809_27627	CBIO4810_27629	CBIO4811_27632	CBIO4812_27633	CBIO4813_27636	CBIO4902_12512	CBIO4912_12513	CBIO4913_12514	CBIO4918_27638	CBIO6802_15235	CBIO6802_16564	CBIO6802_16569	CBIO6802_16574	CBIO6802_23613	CBIO6803_15168	CBIO6803_21215	CBIO6803_21216	CBIO6903_12520	CBIO6914_11065	CBIO6924_15270	CBIO6925_15271	CBIO6970_12003	CBIO6971_12188	CBIO6980_12004	CBIO6981_12005	CBIO6982_12006	CBIO6983_12007	CBIO6984_26356	CBIO6985_12009	CBIO6986_17097	CBIO6987_22930	CBIO6988_27640	CBIO6990_12010	CBIO6991_28656	CBIO6997_27642
1707260820	7	8	11	4	7	7	12	6	9	10	10	7	8	6	28	9	6	19	90	9	0	77	10	6	7	9	10	8	9	10	10	24	20	11	2	5	5	5	5	2	5	4	5	10	10	3	4	7	1	8	7	8	8	-1	5	9	4	2	14	0	2
1707261009	7	8	11	4	7	7	12	4	9	10	10	7	6	5	27	9	6	19	90	9	0	77	10	2	7	9	10	8	9	10	10	24	20	11	2	5	5	5	5	2	5	4	5	10	10	3	4	7	1	8	7	8	8	-1	5	9	4	2	14	0	2
1707261047	7	8	10	4	6	7	12	4	9	10	10	6	6	4	27	9	6	19	90	9	0	76	10	1	7	8	10	8	9	10	10	24	19	11	2	5	5	5	5	2	5	4	5	10	10	3	4	7	1	8	7	8	8	-1	5	9	4	2	14	0	2
1707261116	6	8	10	4	6	7	12	4	9	10	10	6	5	2	26	9	6	19	90	9	0	76	10	1	7	8	10	8	9	10	10	24	18	11	2	5	5	5	5	2	5	4	5	10	10	3	4	7	1	8	7	8	8	-1	5	9	4	2	14	0	2
1707261144	6	8	10	4	6	7	12	4	9	10	10	6	5	2	26	9	6	19	90	9	0	76	10	1	7	8	10	8	9	10	10	24	18	11	2	5	5	5	5	2	5	4	5	10	9	3	4	7	1	8	7	8	8	-1	5	9	4	2	14	0	2
1707261213	6	8	10	4	6	7	12	4	9	10	10	6	4	1	26	9	6	19	90	9	0	76	10	1	7	8	10	8	9	10	10	24	18	11	2	5	5	5	5	2	5	4	5	10	9	3	4	7	1	8	7	8	8	-1	5	9	4	2	14	0	2
1707261257	5	8	10	4	6	7	12	4	9	10	10	6	4	1	25	9	6	19	90	9	0	76	10	1	7	7	10	8	9	10	10	24	18	11	2	5	5	5	5	2	5	4	5	10	9	3	4	7	1	8	7	8	8	-1	5	9	4	2	14	0	2
1707261315	4	8	10	4	6	7	12	4	9	10	10	6	4	1	25	9	6	19	90	9	0	76	10	1	7	7	10	8	9	10	10	24	18	11	2	5	5	5	5	2	5	4	5	10	9	3	4	7	1	8	7	8	8	-1	5	9	4	2	14	0	2
1707261354	5	8	10	4	6	7	12	3	9	10	10	6	4	1	21	9	6	19	90	9	0	76	10	0	7	7	10	8	9	10	10	24	18	11	2	5	5	5	5	2	5	4	5	10	9	3	4	7	1	8	7	8	8	-1	5	9	4	2	14	0	2
1707261538	5	8	10	4	6	7	12	3	9	10	10	6	3	1	19	9	6	19	90	9	0	76	10	-1	7	7	10	8	9	10	10	23	18	10	2	5	5	5	5	2	5	4	5	10	9	3	4	7	1	8	7	8	8	-1	5	9	4	2	14	0	2
1707261603	5	8	10	4	6	7	12	3	9	10	10	6	2	1	19	9	6	19	90	9	0	76	10	-1	7	7	10	8	9	10	10	23	18	9	2	5	5	5	5	2	5	4	5	10	9	3	4	7	1	8	7	8	8	-1	5	9	4	2	14	0	2
1707261646	5	8	10	4	6	7	12	3	9	10	10	6	2	1	18	9	6	19	90	9	0	76	10	-1	7	7	10	8	9	10	10	23	18	8	2	5	5	5	5	2	5	4	5	10	9	3	4	7	1	8	7	8	8	-1	5	8	4	2	14	0	2
1707261709	5	8	10	4	6	7	12	3	9	10	10	6	2	1	18	9	6	19	90	9	0	76	10	-1	7	7	10	8	9	10	10	23	18	8	2	5	5	5	5	2	5	4	5	10	9	3	4	7	1	8	7	8	8	-1	5	8	4	2	14	0	2
1707261733	5	8	10	4	6	7	12	3	9	10	10	6	2	1	18	9	6	19	89	9	0	76	9	-1	7	7	10	8	9	10	10	23	18	8	2	5	5	5	5	2	5	4	5	10	9	3	4	7	1	8	7	8	8	-1	5	8	4	2	14	0	2
1707261807	5	8	10	4	6	7	12	3	9	10	10	6	2	1	18	9	6	19	89	9	0	76	9	-1	7	7	10	8	9	10	10	23	18	8	2	5	5	5	5	2	5	4	5	10	9	3	4	7	1	8	7	8	8	-1	5	8	4	2	14	0	2
1707261822	5	8	10	4	6	7	12	3	9	10	10	6	2	1	18	9	6	19	89	9	0	76	9	-1	7	7	10	8	9	10	10	23	18	8	2	5	5	5	5	2	5	4	5	10	9	3	4	7	1	8	7	8	8	-1	5	8	4	2	14	0	2
1707261842	5	8	10	4	6	7	12	3	9	10	10	6	2	1	18	9	6	19	89	9	0	76	9	-1	7	7	10	8	9	10	10	23	18	8	2	5	5	5	5	2	5	4	5	10	9	3	4	7	1	8	7	8	8	-1	5	8	4	2	14	0	2
1707261903	5	8	10	4	6	7	12	3	9	10	10	6	2	1	18	9	6	19	89	9	0	76	9	-1	7	7	10	8	9	10	10	23	18	8	2	5	5	5	5	2	5	4	5	10	9	3	4	7	1	8	7	8	8	-1	5	8	4	2	14	0	2
1707261944	5	8	10	4	6	7	12	3	9	10	10	6	2	1	18	9	6	19	89	9	0	76	9	-1	7	7	10	8	9	10	10	23	18	8	2	5	5	5	5	2	5	4	5	10	9	3	4	7	1	8	7	8	8	-1	5	8	4	2	14	0	2
1707262004	5	8	10	4	6	7	12	3	9	10	10	6	2	1	18	9	6	19	89	9	0	76	9	-1	7	7	10	8	9	10	10	23	18	8	2	5	5	5	5	2	5	4	5	10	9	3	4	7	1	8	7	8	8	-1	5	8	4	2	14	0	2
