date	CPOL1000_11298	CPOL1003_14523	CPOL1100_10967	CPOL1201_26428	CPOL1300_10027	CPOL1400_10906	CPOL1500_10028	CPOL2126_26429	CPOL2129B_26430	CPOL2136_26431	CPOL2143_26432	CPOL2144_27840	CPOL2206_26434	CPOL2251_26435	CPOL2254_27926	CPOL2335_26438	CPOL2342_26439	CPOL2344_26440	CPOL2346_26441	CPOL2411B_26442	CPOL2419A_26443	CPOL2423_26444	CPOL2424_26445	CPOL2501_26446	CPOL2601_13787	CPOL2602_28066	CPOL3003_10029	CPOL3005_10830	CPOL3202_26447	CPOL3300_26448	CPOL3402_26449	CPOL3500_26450	CPOL3600_12968	CPOL3990_10205	CPOL3991_18905	CPOL3992_17158	CPOL3993_10831	CPOL3995_18900	CPOL4000_26451	CPOL4001_23932	CPOL4066_18902	CPOL4103_18897	CPOL4522_26452	CPOL6523_19077	CPOL6972_20182	CPOL6973_20183	CPOL6974_20180	CPOL6975_20184	CPOL6976_20185	CPOL6977_20186	CPOL6978_20187	CPOL6979_20188	CPOL6980_12822	CPOL6990_21463	CPOL6994_26453	CPOL6998_19051
1707260820	36	45	80	75	74	78	16	6	25	9	23	10	26	15	7	29	14	19	0	36	14	15	20	9	0	0	6	5	1	-4	4	1	17	26	3	5	16	5	0	0	14	9	6	-1	0	0	0	0	0	-1	0	0	10	0	-1	0
1707261009	32	45	76	63	65	75	2	0	13	0	15	3	16	14	0	3	0	16	0	31	4	5	15	8	0	0	6	5	1	-4	4	1	17	26	3	5	16	5	0	0	14	9	6	-1	0	0	0	0	0	-1	0	0	10	0	-1	0
1707261047	32	45	71	53	59	73	0	0	9	0	12	4	15	14	0	0	0	15	0	30	3	5	15	8	0	0	6	5	1	-4	4	1	17	26	3	5	16	5	0	0	14	9	6	-1	0	0	0	0	0	-1	0	0	10	0	-1	0
1707261116	32	45	68	36	48	69	0	0	9	0	11	4	14	12	0	0	0	14	0	30	1	4	15	8	0	0	6	5	1	-4	4	1	17	26	3	5	16	5	0	0	14	9	6	-1	0	0	0	0	0	-1	0	0	10	0	-1	0
1707261144	31	45	59	25	40	64	0	0	9	0	9	4	12	12	0	0	0	14	0	30	0	3	14	8	0	0	6	5	1	-4	4	1	17	26	3	5	16	5	0	0	14	9	6	-1	0	0	0	0	0	-1	0	0	10	0	-1	0
1707261213	31	45	59	25	39	64	0	0	7	0	9	4	11	12	0	0	0	14	0	30	0	3	14	8	0	0	6	5	1	-4	4	1	17	26	3	5	16	5	0	-2	14	9	6	-2	0	0	-1	0	0	-1	-1	0	10	-1	-4	0
1707261257	31	45	59	25	39	64	-1	0	8	0	9	4	11	11	0	0	0	14	0	30	0	3	14	8	0	0	6	5	-2	-8	3	1	17	26	3	5	16	5	0	-2	14	9	6	-2	0	0	-1	0	0	-1	-1	0	10	-1	-4	0
1707261315	31	45	59	25	40	64	-1	-2	8	0	9	4	11	11	0	0	0	14	0	30	0	3	14	7	0	0	6	5	-3	-8	3	1	17	26	3	5	16	5	0	-2	14	9	6	-2	0	0	-1	0	0	-1	-1	0	10	-1	-4	0
1707261354	31	45	59	25	40	64	-1	-6	9	0	0	4	11	11	0	0	0	14	0	30	0	3	14	7	0	0	6	5	-3	-8	3	1	17	26	3	5	16	5	0	-2	14	9	6	-2	0	0	-1	0	0	-1	-1	0	10	-1	-4	0
1707261538	30	45	40	0	8	47	-2	-6	8	0	-2	-1	9	10	-3	-6	0	13	-2	29	0	2	14	7	0	0	6	5	-3	-8	3	1	17	26	3	5	16	5	0	-2	14	9	6	-2	-1	0	-1	0	0	-1	-1	0	10	-1	-4	0
1707261603	30	45	40	0	8	47	-2	-6	8	0	-2	-1	9	10	-3	-6	0	13	-2	29	0	2	14	7	0	0	6	5	-3	-8	3	1	17	26	3	5	16	5	0	-2	14	9	6	-2	-1	0	-1	0	0	-1	-1	0	10	-1	-4	0
1707261646	29	45	35	0	0	43	-2	-6	3	0	-2	-1	8	9	-3	-6	0	10	-2	29	0	2	14	7	0	0	6	5	-3	-8	3	0	17	25	3	5	15	5	0	-2	14	9	6	-2	-1	0	-1	0	0	-1	-1	0	10	-1	-4	0
1707261709	29	45	35	0	0	43	-2	-6	3	0	-2	-1	7	9	-3	-6	0	10	-2	29	0	2	14	7	0	0	6	5	-3	-8	3	0	17	25	3	5	15	5	0	-2	14	9	6	-2	-1	0	-1	0	0	-1	-1	0	10	-1	-4	0
1707261733	28	45	35	0	0	42	-2	-6	3	0	-2	-1	7	9	-3	-6	0	10	-2	29	0	2	14	7	0	0	5	5	-3	-8	3	0	17	24	3	5	15	5	0	-2	14	9	6	-2	-1	0	-1	0	0	-1	-1	0	10	-1	-4	0
