date	PSIC1016_24884	PSIC1018_27214	PSIC1019_24886	PSIC1020_27215	PSIC1021_27216	PSIC1022_24889	PSIC1024_24891	PSIC1025_27217	PSIC1026_27218	PSIC1027_27219	PSIC1030_27221	PSIC1110B_27222	PSIC1129B_27224	PSIC1130B_27225	PSIC1204_10438	PSIC1204_18771	PSIC1205_10439	PSIC1205_23328	PSIC1402_20993	PSIC1402_20995	PSIC1403_15098	PSIC2312_19697	PSIC2313_19698	PSIC2315_27226	PSIC2316_24902	PSIC2318_18186	PSIC2503_14103	PSIC2504_13262	PSIC2504_28344	PSIC2600_23329	PSIC2600_23330	PSIC2601_13263	PSIC2601_28347	PSIC2602_23331	PSIC2602_25788	PSIC2706_11420	PSIC2706_13336	PSIC2707_13264	PSIC2707_14071	PSIC2708_14070	PSIC3600_13445	PSIC3705_10442	PSIC3706_10440	PSIC3707_12069	PSIC3708_15154	PSIC3800_11540	PSIC3801_10649	PSIC3811_10650	PSIC3812_10651	PSIC3814_15093	PSIC3815_13700	PSIC3818_28592	PSIC3820_27227	PSIC3833_24905	PSIC3891_27228	PSIC3899_28591	PSIC3915_24916	PSIC3916_24917	PSIC3925_27230	PSIC3930_27232	PSIC3932_27233	PSIC3939_27234	PSIC3940_27235	PSIC3941_27236	PSIC3952_28590	PSIC3961_11077	PSIC3962_10441	PSIC4100_10170	PSIC4106_10171	PSIC4107_16001	PSIC4108_10355	PSIC4237_28727	PSIC4707_28728	PSIC4890_14124	PSIC4891_22376	PSIC6400_11189	PSIC6970_12070	PSIC6980_12071	PSIC6981_12072	PSIC6990_12566	PSIC6991_14110	PSIC6992_13693	PSIC6997_28544
1707242210	5	5	4	0	5	5	4	3	4	5	0	67	76	68	37	35	41	43	46	63	28	78	75	74	73	77	74	44	49	39	37	35	36	31	36	38	40	37	35	38	18	48	15	25	15	59	65	57	55	47	47	18	21	25	24	22	22	22	23	24	19	24	24	16	22	68	73	13	7	3	6	0	0	1	7	4	4	10	3	11	10	13	1
1707242307	5	5	4	0	5	5	4	3	4	5	0	67	76	68	37	35	41	43	46	63	28	78	75	74	73	77	74	44	49	39	37	35	36	31	36	38	40	37	35	38	18	48	15	25	15	59	65	57	55	47	47	18	21	25	24	22	22	22	23	24	19	24	24	16	22	68	73	13	7	3	6	0	0	1	7	4	4	10	3	11	10	13	1
1707242329	5	5	4	0	5	5	4	3	4	5	0	67	76	68	37	35	41	43	46	63	28	78	75	74	73	77	74	44	49	39	37	35	36	31	36	38	40	37	35	38	18	48	15	25	15	59	65	57	55	47	47	18	21	25	24	22	22	22	23	24	19	24	24	16	22	68	73	13	7	3	6	0	0	1	7	4	4	10	3	11	10	13	1
1707242343	5	5	4	0	5	5	4	3	4	5	0	67	76	68	37	35	41	43	46	63	28	78	75	74	73	77	74	44	49	39	37	35	36	31	36	38	40	37	35	38	18	48	15	25	15	59	65	57	55	47	47	18	21	25	24	22	22	22	23	24	19	24	24	16	22	68	73	13	7	3	6	0	0	1	7	4	4	10	3	11	10	13	1
1707250748	5	5	4	0	5	5	4	3	4	5	0	67	75	68	37	35	41	43	46	63	28	78	75	74	73	77	74	44	49	39	37	35	36	31	36	38	40	37	35	38	18	48	15	25	15	59	65	57	55	47	47	18	21	25	24	22	22	22	23	24	19	24	24	16	22	68	73	13	7	3	6	0	0	1	7	4	4	10	3	11	10	12	1
1707251027	5	5	3	0	5	5	3	3	4	4	0	63	70	64	36	35	38	41	44	58	28	75	74	70	67	74	69	42	46	38	36	35	32	27	36	38	40	37	35	37	16	47	11	21	15	54	50	51	35	43	43	12	8	24	24	21	16	19	19	12	16	20	20	14	21	65	72	13	6	3	6	0	0	1	7	4	4	10	3	11	10	12	1
1707251309	4	5	2	0	5	5	3	2	3	4	0	61	65	61	35	36	34	40	43	56	28	74	73	69	66	74	63	42	41	38	34	35	28	25	36	38	40	37	34	36	13	40	9	20	15	51	25	25	13	32	32	0	0	22	21	17	11	18	14	0	5	11	16	11	19	59	70	13	6	3	6	0	0	1	7	4	4	10	3	11	10	12	1
1707251351	4	5	2	0	5	5	3	2	3	4	0	61	65	61	35	36	34	40	43	56	28	74	73	69	66	74	63	42	41	38	34	35	28	25	36	38	40	37	34	36	13	40	9	21	15	51	25	25	12	32	32	0	0	22	21	17	11	18	14	0	5	11	16	10	19	59	70	13	6	3	6	0	0	1	7	4	4	10	3	11	10	12	1
1707251441	4	5	2	0	5	4	2	1	3	4	0	54	62	58	35	35	32	40	43	54	28	72	70	69	63	73	59	42	36	37	33	35	25	20	35	37	40	37	33	34	13	39	9	19	14	38	6	14	11	27	27	0	0	14	17	13	2	11	11	0	0	5	9	3	16	44	66	13	6	3	6	0	0	1	7	4	4	10	3	11	10	12	1
1707251521	4	5	2	0	5	3	2	1	3	4	0	47	61	58	34	35	32	40	43	52	28	71	70	68	62	70	55	41	36	37	31	35	25	14	33	37	39	37	32	33	12	39	9	18	14	26	1	13	11	27	27	0	0	10	15	10	0	10	10	0	0	4	5	4	14	33	65	13	6	3	6	0	0	1	7	4	4	10	3	11	10	12	1
