date	IQUI1001_24567	IQUI1001C_25152	IQUI1001C_25153	IQUI1001C_25238	IQUI1002_11071	IQUI1002_11100	IQUI1002_11101	IQUI1002_13951	IQUI2010_24569	IQUI2010C_25157	IQUI2010C_25158	IQUI2010C_25159	IQUI2010C_25160	IQUI2020_11229	IQUI2020C_12351	IQUI2020C_12353	IQUI2020C_13741	IQUI2020C_27520	IQUI2021_11237	IQUI2021C_12354	IQUI2021C_12355	IQUI2021C_16924	IQUI2021C_27521	IQUI2023_10488	IQUI2023_10489	IQUI2023_10896	IQUI2023_10962	IQUI2023_13749	IQUI2024_10490	IQUI2024_10491	IQUI2024_10963	IQUI2024_10964	IQUI2024_15281	IQUI2024_28750	IQUI2070_10965	IQUI2090_11576	IQUI2091_25178	IQUI2091_25179	IQUI2091_25180	IQUI2091_25240	IQUI2101_13967	IQUI2101L_25181	IQUI2101L_25182	IQUI2101L_25183	IQUI2101L_25184	IQUI2102_10457	IQUI2102C_12794	IQUI2102C_12795	IQUI2102C_27559	IQUI2102C_27560	IQUI2104_11579	IQUI2104_11580	IQUI2104_11581	IQUI2104_13969	IQUI2200_10571	IQUI2200L_25210	IQUI2200L_25212	IQUI2200L_25214	IQUI2200L_25241	IQUI2300_11432	IQUI2300C_12798	IQUI2300C_12799	IQUI2300C_16986	IQUI2301_11596	IQUI2301_11597	IQUI2301_11598	IQUI2301_13248	IQUI3001_11599	IQUI3001C_12806	IQUI3001C_12808	IQUI3001C_27575	IQUI3001C_27576	IQUI3002_11421	IQUI3002_11422	IQUI3002_11423	IQUI3002_18541	IQUI3010_10008	IQUI3010_27577	IQUI3012_25244	IQUI3012_25245	IQUI3012_25246	IQUI3012_25247	IQUI3031_11238	IQUI3032_25248	IQUI3032_25249	IQUI3032_25250	IQUI3032_25251	IQUI3039_10966	IQUI3040_10493	IQUI3041_25252	IQUI3041_25253	IQUI3041_25254	IQUI3041_25255	IQUI3041_27579	IQUI3042_25256	IQUI3042_25257	IQUI3042_25258	IQUI3042_25259	IQUI3090_10009	IQUI3091_10010	IQUI3201_26910	IQUI3315_26911	IQUI3322_26912	IQUI3501_11668	IQUI3991_14105	IQUI4101_26915	IQUI4211_13300	IQUI4212_13301	IQUI4301_11242	IQUI4302_11245	IQUI4303_13312	IQUI4304_25132	IQUI4310_26916	IQUI4402_11243	IQUI4403_14106	IQUI4511_26917	IQUI4514_26918	IQUI6007_20150	IQUI6008_26919	IQUI6402_14944	IQUI6970_23566	IQUI6980_14946	IQUI6981_14947	IQUI6982_24589	IQUI6983_28546	IQUI6990_24590	IQUI6997_26920
1707252100	22	7	10	0	3	10	7	19	89	23	23	21	22	106	27	26	25	28	110	29	25	29	28	19	20	21	22	20	23	23	25	19	20	0	48	30	1	8	11	10	68	19	17	16	16	43	4	6	16	17	2	12	19	0	77	14	19	20	22	36	19	0	17	9	13	4	10	16	9	4	0	1	4	0	5	7	-8	19	5	15	-1	2	14	0	0	4	10	16	8	0	2	0	0	14	0	0	0	8	13	0	-2	0	0	0	0	16	0	-1	1	8	0	0	4	6	-1	17	21	0	0	-1	-1	-1	-2	0	-1	0	0
1707252124	22	7	10	0	3	10	7	19	89	23	23	21	22	106	27	26	25	28	110	29	25	29	28	19	20	21	22	20	23	23	25	19	20	0	48	30	1	8	11	10	68	19	17	16	16	43	4	6	16	17	2	12	19	0	77	14	19	20	22	36	19	0	17	9	13	4	10	16	9	4	0	1	4	0	5	7	-8	19	5	15	-1	2	14	0	0	4	10	16	8	0	2	0	0	14	0	0	0	8	13	0	-2	0	0	0	0	16	0	-1	1	8	0	0	4	6	-1	17	21	0	0	-1	-1	-1	-2	0	-1	0	0
1707252143	22	7	10	0	3	10	7	19	89	23	23	21	22	106	27	26	25	28	110	29	25	29	28	19	20	21	22	20	23	23	25	19	20	0	48	30	1	8	11	10	68	19	17	16	16	43	4	6	16	17	2	12	19	0	77	14	19	20	22	36	19	0	17	9	13	4	10	16	9	4	0	1	4	0	5	7	-8	19	3	17	-1	2	14	0	0	4	10	16	8	0	2	0	0	14	0	0	0	8	13	0	-2	0	0	0	0	16	0	-1	1	8	0	0	4	6	-1	17	21	0	0	-1	-1	-1	-2	0	-1	0	0
1707252259	22	7	10	0	3	10	7	19	89	23	23	21	22	106	27	26	25	28	110	29	25	29	28	19	20	21	22	20	23	23	25	19	20	0	48	30	1	8	11	10	68	19	17	16	16	43	4	6	16	17	2	12	19	0	77	14	19	20	22	36	19	0	17	9	13	4	10	16	9	4	0	1	4	0	5	7	-8	19	3	17	-1	2	14	0	0	4	10	16	8	0	2	0	0	14	0	0	0	8	13	0	-2	1	0	0	0	16	0	-1	0	7	0	0	3	6	-1	17	21	0	0	-1	-1	-1	-2	0	-1	0	0
1707252332	22	7	10	0	3	10	7	19	89	23	23	21	22	106	27	26	25	28	110	29	25	29	28	19	20	21	22	20	23	23	25	19	20	0	48	30	1	8	11	10	68	19	17	16	16	43	4	6	16	17	2	12	19	0	77	14	19	20	22	36	19	0	17	9	13	4	10	16	9	4	0	1	4	0	5	7	-8	19	3	17	-1	2	14	0	0	4	10	16	8	0	2	0	0	14	0	0	0	8	13	0	-2	0	0	0	0	16	0	-1	0	7	0	0	3	6	-1	17	21	0	0	-1	-1	-1	-2	0	-1	0	0
1707260820	22	7	10	0	3	10	7	19	89	23	23	21	22	106	27	26	25	28	108	29	23	29	28	19	20	21	22	20	22	23	25	18	20	0	48	30	1	8	11	10	63	17	17	14	15	35	4	0	14	17	1	6	18	0	70	12	17	18	21	31	15	0	16	5	12	4	10	16	9	4	0	1	4	0	5	7	-8	19	3	17	-1	2	14	0	0	4	10	16	8	0	2	0	0	14	0	0	0	8	13	0	-2	0	0	0	0	16	0	-1	0	7	0	0	3	6	-1	17	21	0	0	-1	-1	-1	-2	0	-1	0	0
1707261009	22	7	10	0	3	10	7	19	81	22	21	17	21	98	27	24	24	23	77	24	6	23	25	19	20	21	21	13	20	22	24	5	6	0	48	30	1	8	11	10	26	12	7	5	2	28	0	0	12	16	0	1	17	0	41	0	8	13	18	23	9	0	14	2	11	2	8	16	9	4	0	1	4	0	5	7	-6	17	3	17	-1	2	14	0	0	4	10	16	8	0	2	0	0	14	0	0	0	8	13	0	-2	0	0	0	0	16	0	-1	0	7	0	0	3	6	-1	17	21	0	0	-1	-1	-1	-2	0	-1	0	0
1707261047	21	6	10	0	2	10	6	19	77	20	20	16	21	97	27	24	24	22	62	19	0	21	23	19	20	21	21	12	20	20	22	0	0	0	48	30	1	8	11	10	19	10	6	2	1	28	0	0	12	16	0	1	17	0	39	0	6	13	18	23	9	0	14	2	11	2	8	16	9	4	0	1	4	0	5	7	-5	16	3	17	-1	2	14	0	0	4	10	16	8	0	2	0	0	14	0	0	0	8	13	0	-2	0	0	0	0	16	0	-1	0	7	0	0	3	6	-1	17	21	0	0	-1	-1	-1	-2	0	-1	0	0
1707261116	21	6	10	0	2	10	6	19	61	14	17	14	16	91	27	21	23	20	53	19	0	14	21	17	20	21	20	9	17	20	16	0	0	0	48	30	1	8	11	10	14	9	5	0	0	28	0	0	12	16	0	1	17	0	38	0	5	13	18	23	9	0	14	2	11	2	8	16	9	4	0	1	4	0	5	7	-4	15	3	17	-1	2	14	0	0	4	10	16	8	0	2	0	0	14	0	0	0	8	13	0	-2	0	0	0	0	16	0	-1	0	7	0	0	3	6	-1	17	21	0	0	-1	-1	-1	-2	0	-1	0	0
1707261144	21	6	10	0	2	10	6	19	34	9	12	13	0	84	27	17	22	18	37	10	0	9	19	15	20	19	19	7	12	16	9	0	0	0	48	30	1	8	11	10	14	9	5	0	0	28	0	0	12	16	0	1	17	0	38	1	5	12	18	23	9	0	14	2	11	2	8	16	9	4	0	1	4	0	5	7	-4	15	3	17	-1	2	14	0	0	4	10	16	8	0	2	0	0	14	0	0	0	8	13	0	-2	0	0	0	0	16	0	-1	0	7	0	0	3	6	-1	17	21	0	0	-1	-1	-1	-2	0	-1	0	0
