date	IMEC1000_10418	IMEC1000C_20840	IMEC1000C_20940	IMEC1000C_20941	IMEC1000C_25495	IMEC1001_10377	IMEC1001_10659	IMEC1001_12765	IMEC1001L_25521	IMEC1001L_25525	IMEC1001L_25527	IMEC1001L_25531	IMEC1330_11220	IMEC1330_21154	IMEC1330L_12298	IMEC1330L_12785	IMEC1330L_18704	IMEC1410_10011	IMEC1410_10174	IMEC1410_28345	IMEC1410L_12299	IMEC1410L_12793	IMEC1410L_22971	IMEC1410L_22972	IMEC1410L_28346	IMEC1503_10378	IMEC1503_10379	IMEC1503_10380	IMEC1503C_20954	IMEC1503C_20956	IMEC1503C_20958	IMEC1503C_20959	IMEC1541_10175	IMEC1541_12194	IMEC1541L_12300	IMEC1541L_12813	IMEC1997_19846	IMEC2070_11255	IMEC2210_11116	IMEC2210L_12301	IMEC2210L_12821	IMEC2210L_26121	IMEC2320_10176	IMEC2320_27781	IMEC2320L_12972	IMEC2320L_12973	IMEC2320L_27783	IMEC2411_10012	IMEC2411_12171	IMEC2411L_12302	IMEC2411L_12827	IMEC2520_16810	IMEC2520_18775	IMEC2520L_12303	IMEC2520L_12829	IMEC2540_10572	IMEC2540_10660	IMEC2540L_12304	IMEC2540L_12833	IMEC2540L_12835	IMEC2543_10792	IMEC2543_28613	IMEC2543L_14047	IMEC2543L_25602	IMEC2543L_25610	IMEC2700_11070	IMEC2700C_28073	IMEC2797_19847	IMEC3345_10970	IMEC3345L_14051	IMEC3345L_14052	IMEC3350_26899	IMEC3460_14054	IMEC3460_27812	IMEC3460C_20990	IMEC3460C_20991	IMEC3530_10971	IMEC3530_22770	IMEC3530C_20845	IMEC3530C_20994	IMEC3700_10013	IMEC3701_10014	IMEC3702_11284	IMEC3707_26900	IMEC3991_27373	IMEC3997_19845	IMEC4001_26901	IMEC4070_21954	IMEC4105_26902	IMEC4210_26905	IMEC4222_28072	IMEC4430_26906	IMEC4521_26907	IMEC4700_12978	IMEC4701_10540	IMEC4702_10541	IMEC4800_10580	IMEC4801_24561	IMEC4994_19882	IMEC4997_19848	IMEC6001_23672	IMEC6002_14118	IMEC6002_15287	IMEC6002_15288	IMEC6003_24564	IMEC6402_13873	IMEC6700_22656	IMEC6980_24565	IMEC6981_13876	IMEC6982_13877	IMEC6983_26908	IMEC6997_26909
1707241848	38	9	15	4	12	2	22	0	12	0	7	19	38	37	32	22	35	33	50	34	55	55	25	34	39	22	1	26	0	27	20	30	62	27	67	37	915	0	66	22	25	24	29	29	31	30	31	34	36	46	48	40	31	43	52	47	33	28	30	39	38	29	22	30	32	76	84	978	53	34	30	44	67	0	31	38	22	37	35	30	53	92	19	37	96	981	15	96	33	21	35	35	36	23	24	24	19	1	0	967	0	0	0	0	0	3	20	98	99	99	97	0
1707242034	38	9	15	4	12	2	22	0	12	0	7	19	38	37	32	22	35	33	50	34	55	55	25	34	39	22	1	26	0	27	20	30	62	27	67	37	915	0	66	22	25	24	29	29	31	30	31	34	36	46	48	40	31	43	52	47	33	28	30	39	38	29	22	30	32	76	84	978	53	34	30	44	67	0	31	38	22	37	35	30	53	92	19	37	96	981	15	96	34	21	33	35	37	23	24	24	18	1	0	966	0	0	0	0	0	3	20	98	99	99	97	0
1707242132	38	9	15	4	12	3	21	0	13	0	6	19	38	37	32	22	35	33	50	34	55	55	25	34	39	23	1	25	0	28	19	30	62	27	67	37	915	0	66	22	25	24	29	29	31	30	31	34	36	46	48	40	31	43	52	47	33	28	30	39	38	29	22	30	32	76	84	978	53	34	30	44	67	0	31	38	22	37	35	30	53	92	19	37	96	981	15	96	34	21	33	35	37	23	24	24	18	1	0	966	0	0	0	0	0	3	20	98	99	99	97	0
1707242210	38	9	15	4	12	3	21	0	13	0	6	19	38	37	32	22	35	33	50	34	55	55	25	34	39	23	0	26	0	28	20	30	62	27	67	37	915	0	66	22	25	24	29	29	31	30	31	34	36	46	48	40	31	43	52	47	33	28	30	39	38	29	22	30	32	76	84	978	53	34	30	44	67	0	31	38	22	37	35	30	53	92	19	37	96	981	14	96	34	21	33	35	37	23	24	24	18	1	0	966	0	0	0	0	0	3	20	98	99	99	97	0
1707242307	38	9	15	4	12	3	21	0	13	0	6	19	38	37	32	22	35	33	50	34	55	55	25	34	39	23	0	26	0	28	20	30	62	27	67	37	915	0	66	22	25	24	29	29	31	30	31	34	36	46	48	40	31	43	52	47	33	28	30	39	38	29	22	30	32	76	84	978	53	34	30	44	67	0	31	38	21	37	35	29	53	92	19	37	96	981	14	96	34	21	33	35	37	23	24	24	18	1	0	966	0	0	0	0	0	3	20	98	99	99	97	0
1707242329	38	9	15	4	12	3	21	0	13	0	6	19	38	37	32	22	35	33	50	34	55	55	25	34	39	23	0	26	0	28	20	30	62	27	67	37	915	0	66	22	25	24	29	29	31	30	31	34	36	46	48	40	31	43	52	47	33	28	30	39	38	29	22	30	32	76	84	978	53	34	30	44	67	0	31	38	21	37	35	29	53	92	19	37	96	981	14	96	34	21	33	35	37	23	24	24	18	1	0	966	0	0	0	0	0	3	20	98	99	99	97	0
1707242343	38	9	15	4	12	3	21	0	13	0	6	19	38	37	32	22	35	33	50	34	55	55	25	34	39	23	0	26	0	28	20	30	62	27	67	37	915	0	66	22	25	24	29	29	31	30	31	34	36	46	48	40	31	43	52	47	33	28	30	39	38	29	22	30	32	76	84	978	53	34	30	44	67	0	31	38	21	37	35	29	53	92	19	37	96	981	14	96	34	21	33	35	37	23	24	24	18	1	0	966	0	0	0	0	0	3	20	98	99	99	97	0
1707250748	38	9	15	4	12	3	21	0	13	0	6	19	38	37	32	22	35	33	50	34	55	55	25	34	39	23	1	25	2	28	19	29	62	27	67	37	915	0	66	22	25	24	29	29	31	30	31	34	36	46	48	40	31	43	52	47	33	28	30	39	38	29	22	30	32	76	84	978	53	34	30	44	67	0	31	38	21	37	35	29	52	92	19	37	96	980	14	96	34	21	33	35	37	23	24	22	18	1	0	964	0	0	0	0	0	3	20	98	99	99	97	0
1707251027	38	9	15	4	12	3	21	0	13	0	6	19	37	37	32	21	35	33	50	34	55	55	25	34	39	22	1	25	2	28	18	29	61	27	66	37	912	0	65	22	24	24	27	26	27	30	30	32	36	44	48	40	29	41	52	47	31	27	30	38	37	29	22	30	31	75	83	970	30	28	13	36	62	0	28	36	16	29	27	24	39	64	18	33	93	944	10	96	34	17	31	35	37	18	22	22	18	1	0	924	0	0	0	0	0	3	20	98	99	99	97	0
1707251309	37	9	15	3	12	2	21	0	12	0	6	19	37	35	31	20	35	33	50	34	55	55	25	34	39	20	0	25	1	26	19	28	60	26	65	36	905	0	62	22	22	23	14	20	11	27	30	30	36	42	48	40	27	39	52	45	28	26	27	37	30	28	20	26	29	69	77	935	8	19	0	32	33	0	1	34	0	6	4	8	4	54	18	28	81	888	10	96	34	17	31	34	36	18	22	21	18	1	0	904	0	0	0	0	0	3	20	98	99	99	97	0
