date	BIOL0000_20371	BIOL1300_13204	BIOL1300_19081	BIOL1300C_12596	BIOL1300C_12597	BIOL1300C_13209	BIOL1301_10159	BIOL1301_10415	BIOL1301_10516	BIOL1301_10732	BIOL1301_11060	BIOL1301_11937	BIOL1301_14784	BIOL1303_13559	BIOL1312_10416	BIOL1313_10417	BIOL1313_11283	BIOL1313_11936	BIOL1313_13003	BIOL1324A_13561	BIOL1325B_22825	BIOL1326A_12241	BIOL1327_11297	BIOL1327_11367	BIOL1327_11368	BIOL1327_11369	BIOL1327_11370	BIOL1327_13007	BIOL1327_13694	BIOL1327C_12457	BIOL1327C_12600	BIOL1327C_12601	BIOL1327C_12602	BIOL1327C_12604	BIOL1327C_12605	BIOL1327C_12606	BIOL1327C_12607	BIOL1327C_13308	BIOL1328B_28200	BIOL2202_27524	BIOL2203_27525	BIOL2203_27526	BIOL2203_27527	BIOL2203_27528	BIOL2302_12080	BIOL2303_13334	BIOL2303_27530	BIOL2304_27532	BIOL2305_27534	BIOL2305_27537	BIOL2305_27539	BIOL2308_10163	BIOL2309_10165	BIOL2309_27547	BIOL3300_27544	BIOL3301_27545	BIOL3301_27546	BIOL3304_27548	BIOL3305_27549	BIOL3305_27551	BIOL3305_27552	BIOL3308_27553	BIOL3309_27555	BIOL3309_27556	BIOL3310_27557	BIOL3311_27558	BIOL3312_28570	BIOL3313_28543	BIOL3326_28061	BIOL3327_28062	BIOL3330_27564	BIOL3339_27565	BIOL3340_27568	BIOL3341_27569	BIOL3341_27571	BIOL3906_11190	BIOL3907_12244	BIOL3911_11525	BIOL3912_11526	BIOL3991_11527	BIOL3992_28655	BIOL3995_13692
1707242210	22	64	67	47	53	41	18	21	19	18	27	18	21	6	57	0	13	19	21	40	70	37	74	49	39	44	56	76	78	37	25	46	36	49	16	54	36	62	71	88	25	32	30	22	65	28	24	76	26	26	24	48	24	24	58	30	24	70	23	22	24	36	21	-1	30	30	17	21	27	27	18	18	20	10	10	15	17	20	48	20	0	0
1707242307	22	64	67	47	53	41	18	21	19	18	27	18	21	6	57	0	13	19	21	40	70	37	74	49	39	44	56	76	78	37	25	46	36	49	16	54	36	62	71	88	25	32	30	22	65	28	24	76	26	26	24	48	24	24	58	30	24	70	23	22	24	36	21	-1	30	30	17	21	27	27	18	18	20	10	10	15	17	20	48	20	0	0
1707242329	22	64	67	47	53	41	18	21	19	18	27	18	21	6	57	0	13	19	21	40	70	37	74	49	39	44	56	76	78	37	25	46	36	49	16	54	36	62	71	88	25	32	30	22	65	28	24	76	26	26	24	48	24	24	58	30	24	70	23	22	24	36	21	-1	30	30	17	21	27	27	18	18	20	10	10	15	17	20	48	20	0	0
1707242343	22	64	67	47	53	41	18	21	19	18	27	18	21	6	57	0	13	19	21	40	70	37	74	49	39	44	56	76	78	37	25	46	36	49	16	54	36	62	71	88	25	32	30	22	65	28	24	76	26	26	24	48	24	24	58	30	24	70	23	22	24	36	21	-1	30	30	17	21	27	27	18	18	20	10	10	15	17	20	48	20	0	0
1707250748	22	64	67	47	53	41	18	21	19	18	27	18	21	6	57	0	13	19	21	40	70	37	74	49	39	44	56	76	78	37	25	46	36	49	16	54	36	62	72	88	25	32	30	22	65	28	24	76	26	26	24	48	24	24	58	30	24	70	23	22	24	36	21	-1	30	30	17	21	27	27	18	18	20	10	10	15	17	20	47	20	0	0
1707251027	22	59	66	45	52	38	17	21	18	18	25	18	21	4	57	0	13	19	21	58	66	55	72	45	38	39	52	75	78	36	18	45	34	49	13	53	35	61	72	81	20	32	30	20	65	28	24	76	26	26	24	46	24	22	55	29	23	67	21	21	24	36	21	-1	30	30	17	21	25	25	13	13	19	10	9	13	12	18	47	20	0	0
1707251309	21	58	65	43	52	38	15	21	18	18	25	17	20	3	57	0	13	19	21	54	62	50	69	39	37	30	51	75	78	32	13	44	33	49	9	49	34	61	72	71	14	31	30	17	63	28	22	76	26	26	24	42	22	20	50	27	20	55	13	19	22	35	20	-1	30	30	16	20	25	25	7	7	17	9	8	7	7	18	45	20	0	0
1707251351	21	58	65	43	52	38	15	21	18	18	25	17	20	3	57	0	13	19	21	54	62	51	69	39	37	30	51	75	78	32	13	44	33	49	9	49	34	61	72	71	14	31	30	17	63	28	22	76	26	26	24	42	22	20	50	27	20	55	13	19	22	35	20	-1	30	30	16	20	25	25	7	7	17	9	8	7	6	18	45	20	0	0
1707251441	20	56	65	42	52	37	15	20	18	18	25	17	20	2	56	0	12	19	21	51	59	47	65	32	31	24	49	74	78	26	10	41	31	48	4	47	31	60	71	65	12	30	29	15	63	28	22	76	26	26	24	35	20	15	44	26	15	47	10	18	18	35	20	-1	30	30	15	19	22	22	7	7	16	8	8	5	5	18	44	20	0	0
1707251521	19	53	65	41	52	35	15	19	18	16	25	17	20	2	55	0	12	18	21	45	57	44	63	31	26	18	49	73	78	23	8	39	29	47	2	46	30	59	70	53	7	30	29	8	62	28	21	76	26	26	24	26	20	6	37	26	8	45	10	17	17	35	20	-1	30	30	15	19	20	20	7	7	15	7	8	3	5	18	43	20	0	0
