date	EGOB1100B_22952	EGOB1100B_28114	EGOB1101B_28099	EGOB1104_28284	EGOB1105_24179	EGOB1106_25409	EGOB1112B_14552	EGOB1112B_22879	EGOB1201B_28102	EGOB1209B_17701	EGOB1209B_20937	EGOB1209B_20939	EGOB1211B_28207	EGOB1500_17235	EGOB2100_28211	EGOB2101_24181	EGOB2101C_24182	EGOB2103_28259	EGOB2104_28260	EGOB3007_28263	EGOB3009_28264	EGOB3019_18848	EGOB3020_18849	EGOB3021_18850	EGOB3023_23600	EGOB3112_25578	EGOB3115_28265	EGOB3506_26664	EGOB3510_28268	EGOB3511_28269	EGOB3513_26671	EGOB3901_21665	EGOB4003_15215	EGOB4004_24188	EGOB4100_13062	EGOB4103_24189	EGOB4104_13064	EGOB4105_28270	EGOB4106_28271	EGOB4107_28272	EGOB4109_13574	EGOB4110_10994	EGOB4112_15573	EGOB4112_26049	EGOB4112_26050	EGOB4112_26051	EGOB4112_26052	EGOB4112_26053	EGOB4112_26108	EGOB4112_26158	EGOB4113_11118	EGOB4115_13415	EGOB4119_28273	EGOB4122_21669	EGOB4211_23529	EGOB4803_28274	EGOB4804_28275	EGOB4808_28363	EGOB4818_26193	EGOB4820_28276	EGOB4821_28277	EGOB4822_28684
1707251309	43	78	70	54	66	64	22	57	73	28	37	39	48	0	38	28	28	36	40	18	24	0	0	0	0	7	32	29	30	0	19	0	0	0	16	24	34	19	18	0	18	15	0	-1	-1	-2	-1	0	0	0	11	0	25	5	0	24	30	13	0	0	16	0
1707251351	43	78	70	54	66	64	22	57	73	28	37	39	48	0	38	28	28	36	40	18	24	0	0	0	0	7	32	29	30	0	19	0	0	0	16	24	34	19	17	0	18	15	0	-1	-1	-2	-1	0	0	0	11	0	25	5	0	24	30	13	0	0	16	0
1707251441	40	78	66	52	65	63	21	57	71	25	37	39	46	0	33	28	28	35	40	17	23	0	0	0	0	5	31	28	30	0	19	0	0	0	16	24	34	19	17	0	18	15	0	-1	-1	-2	-1	0	0	0	11	0	25	5	0	24	30	13	0	0	16	0
1707251521	40	78	64	50	63	62	21	56	68	21	37	39	43	0	31	28	28	35	39	17	20	0	0	0	0	4	30	28	30	0	19	0	0	0	16	24	34	19	17	0	18	15	0	-1	-1	-2	-1	0	0	0	11	0	25	5	0	23	30	13	0	0	16	0
1707251605	39	78	63	49	60	61	21	55	67	20	37	39	42	0	30	25	25	35	37	16	20	0	0	0	0	2	28	27	30	0	18	0	0	0	16	24	34	19	17	0	18	15	0	-1	-1	-2	-1	0	0	0	11	0	25	5	0	23	30	13	0	0	16	0
1707251658	38	78	61	46	57	59	19	55	64	17	36	39	41	0	29	25	25	35	37	15	19	0	0	0	0	1	28	26	30	0	18	0	0	0	15	23	33	19	16	0	18	15	0	-1	-1	-2	-1	0	0	0	11	0	25	5	0	23	30	13	0	0	16	0
1707251727	38	78	60	46	57	59	19	55	63	17	36	39	41	0	29	25	25	35	37	15	19	0	0	0	0	1	28	26	30	0	18	0	0	0	15	23	33	19	16	0	18	15	0	-1	-1	-2	-1	0	0	0	11	0	25	5	0	23	30	13	0	0	16	0
1707251900	37	78	60	46	57	59	19	55	63	17	36	39	41	0	29	25	25	35	37	15	19	0	0	0	0	1	28	26	30	0	18	0	0	0	15	23	32	19	16	0	18	15	0	-1	-1	-2	-1	0	0	0	11	0	25	5	0	22	30	13	0	0	16	0
1707251927	37	78	60	46	57	59	19	55	63	17	36	39	41	0	29	25	25	35	37	15	19	0	0	0	0	1	28	26	30	0	18	0	0	0	15	23	32	19	16	0	18	15	0	-1	-1	-2	-1	0	0	0	11	0	25	5	0	22	30	13	0	0	16	0
1707252025	37	78	60	46	57	59	19	55	63	17	36	39	41	0	29	25	25	35	37	15	19	0	0	0	0	1	28	26	30	0	18	0	0	0	15	23	31	19	16	0	18	15	0	-1	-1	-2	-1	0	0	0	11	0	25	5	0	22	30	13	0	0	16	0
