date	MFIN4000_27108	MFIN4000_27397	MFIN4200_27408	MFIN4200_27409	MFIN4205_27412	MFIN4205_27413	MFIN4208_28333	MFIN4208_28334	MFIN4213_27410	MFIN4213_27411	MFIN4218_27116	MFIN4220_27117	MFIN4246_27119	MFIN4251_27475	MFIN4251_27479	MFIN4252_28133	MFIN4252_28305	MFIN4253_28330	MFIN4253_28331	MFIN4254_28634	MFIN4254_28635	MFIN4900_27414	MFIN4900_27415	MFIN4900_27416
1707262125	-2	-7	4	-1	6	0	-1	0	-2	3	5	3	3	4	2	-2	-2	-3	2	-5	-5	0	0	3
1707262142	-2	-7	4	-1	6	0	-1	0	-2	3	5	3	3	4	2	-2	-2	-3	2	-5	-5	0	0	3
1707262337	-2	-7	4	-1	5	0	-1	0	-2	3	5	3	2	4	2	-2	-2	-3	2	-5	-5	0	0	3
1707270001	-2	-7	4	-1	5	0	-1	0	-2	3	5	3	2	4	2	-2	-2	-3	2	-5	-5	0	0	3
1707270737	-2	-7	4	-1	5	0	-1	0	-2	3	5	3	2	4	2	-2	-2	-3	2	-5	-5	0	0	3
1707270816	-2	-7	4	-1	5	0	-1	0	-2	3	5	3	2	4	2	-2	-2	-3	2	-5	-5	0	0	3
1707270840	-2	-7	4	-1	5	0	-1	0	-2	3	4	3	2	4	2	-2	-2	-3	2	-5	-5	0	0	3
1707270903	-2	-7	4	-1	5	0	-1	0	-2	3	4	3	2	4	2	-2	-2	-3	2	-5	-5	0	0	3
1707271009	-2	-7	4	-1	5	0	-1	0	-2	3	4	3	2	4	2	-2	-2	-3	2	-5	-5	0	0	3
1707271027	-2	-7	4	-1	5	0	-1	0	-2	3	4	3	2	4	2	-2	-2	-3	2	-5	-5	0	0	3
1707271053	-3	-8	4	-1	5	0	-1	-1	-2	3	4	3	2	3	1	-3	-3	-3	0	-7	-5	0	0	3
1707271136	-3	-8	4	-1	6	0	-1	-1	-2	3	4	3	3	3	1	-3	-4	-3	-1	-7	-5	0	0	3
1707271218	-3	-8	4	-1	6	0	-1	-1	-2	3	4	3	3	3	1	-3	-4	-3	-1	-7	-5	0	0	3
1707271250	-3	-8	4	-1	6	0	-1	-1	-2	3	4	3	3	3	1	-3	-4	-3	-1	-7	-5	0	0	3
1707271309	-3	-8	4	-1	6	0	-1	-1	-2	3	4	3	3	3	1	-3	-4	-3	-1	-7	-5	0	0	3
1707271338	-3	-8	4	-1	6	0	-1	-1	-2	3	3	3	3	3	1	-3	-4	-3	-1	-7	-5	0	0	3
1707271422	-3	-8	4	-1	6	0	-1	-1	-2	3	3	3	3	3	1	-3	-4	-3	-1	-7	-5	0	0	3
1707271448	-3	-8	3	-1	6	0	-1	-1	-2	3	3	3	3	3	1	-3	-4	-3	-1	-7	-5	0	0	3
1707271510	-4	-8	2	-1	6	0	-1	-1	-2	3	3	3	3	4	0	-2	-5	-3	-1	-7	-5	0	0	3
1707271544	-4	-8	2	-1	6	0	-1	-1	-2	3	3	3	3	4	0	-2	-5	-4	-1	-7	-5	0	0	3
1707271643	-4	-8	2	-1	6	0	-2	0	-2	2	3	3	4	4	0	-2	-5	-4	-2	-8	-5	0	0	3
1707271704	-4	-9	2	-1	6	0	-2	0	-2	2	3	3	4	3	0	-3	-6	-4	-2	-8	-5	0	0	3
1707271720	-4	-9	2	-1	6	0	-2	0	-2	2	3	3	4	3	0	-3	-6	-4	-2	-8	-5	0	0	3
1707271802	-4	-9	2	-1	6	0	-2	0	-2	2	3	3	4	3	0	-3	-6	-4	-2	-8	-5	0	0	3
1707272002	-4	-9	2	-6	6	0	-2	-1	-15	5	3	2	4	3	0	-3	-6	-4	-2	-8	-5	0	0	3
1707272150	-4	-9	2	-6	6	-7	-2	-1	-15	5	3	2	4	3	0	-3	-6	-4	-2	-6	-7	-1	-2	3
1707272237	-4	-9	2	-6	6	-7	-2	-1	-15	5	3	2	4	3	0	-3	-6	-4	-2	-6	-7	-1	-2	3
1707281100	-4	-9	2	-6	6	-7	-2	-1	-15	5	3	3	4	3	0	-3	-6	-4	-2	-6	-7	-1	-2	3
1707281233	-5	-8	2	-8	6	-7	-2	-2	-15	5	3	3	4	3	-1	-3	-7	-4	-3	-7	-7	-1	-2	3
1707281457	-5	-8	2	-8	6	-7	-2	-2	-15	5	3	3	4	3	-1	-3	-7	-4	-3	-7	-7	-1	-2	3
1707281621	-5	-8	2	-8	6	-7	-2	-2	-15	5	3	3	4	3	-1	-3	-7	-4	-3	-7	-7	-1	-2	3
1707281911	-5	-8	1	-8	6	-7	-3	-2	-15	5	3	3	4	3	-1	-3	-7	-4	-3	-7	-7	-1	-2	3
