date	GEOC0000_21006	GEOC0001_21007	GEOC1002_14987	GEOC1002_14989	GEOC1002_15011	GEOC1002_15012	GEOC1002_15013	GEOC1022_11533	GEOC1023_18727	GEOC1023_18728	GEOC1312B_26715	GEOC1416B_26716	GEOC1611B_26717	GEOC2040_26718	GEOC2041_26719	GEOC2041_28135	GEOC2041_28139	GEOC2041_28140	GEOC2041_28143	GEOC2048_26720	GEOC2049_26721	GEOC2049_28147	GEOC2049_28155	GEOC2049_28158	GEOC2057_24261	GEOC3018_26722	GEOC3019_26723	GEOC3019_28159	GEOC3019_28160	GEOC3019_28161	GEOC3019_28219	GEOC3019_28220	GEOC3019_28221	GEOC3019_28222	GEOC3028_26724	GEOC3029_26725	GEOC3029_28163	GEOC3029_28164	GEOC3029_28165	GEOC3029_28166	GEOC3029_28223	GEOC3029_28224	GEOC3029_28225	GEOC3029_28226	GEOC3029_28227	GEOC3050_23531	GEOC3057_26726	GEOC3098_26727	GEOC3099_15209	GEOC3302_26728	GEOC3401_26729	GEOC3601_26730	GEOC3602_26731	GEOC3602_28174	GEOC3991_23653
1707261538	19	0	10	0	0	0	57	12	4	9	69	60	45	23	1	0	4	6	13	22	6	4	0	0	23	37	0	0	0	0	-1	1	3	12	20	0	0	0	0	0	0	0	0	0	0	43	26	-1	-11	22	16	12	4	8	0
1707261603	19	0	7	0	0	0	57	10	2	9	68	60	44	23	1	0	4	6	13	22	6	4	0	0	23	37	0	0	0	0	-1	1	3	12	20	0	0	0	0	0	0	0	0	0	0	43	26	-1	-11	22	16	12	4	8	0
1707261646	19	0	0	0	0	0	53	5	0	6	66	34	38	22	1	0	4	5	13	22	6	4	0	0	23	36	0	0	0	0	-1	1	3	11	20	0	0	0	0	0	0	0	0	0	0	42	25	-1	-11	22	15	11	4	7	0
1707261709	19	0	0	0	0	0	52	5	0	6	66	34	35	22	1	0	4	5	13	22	6	4	0	0	23	36	0	0	0	0	-1	1	3	11	20	0	0	0	0	0	0	0	0	0	0	42	25	-1	-11	22	15	11	4	7	0
1707261733	19	0	0	0	0	0	52	5	0	6	65	34	35	22	1	0	4	5	13	22	6	4	0	0	23	36	0	0	0	0	-1	1	3	11	20	0	0	0	0	0	0	0	0	0	0	42	25	-1	-11	22	15	11	4	7	0
1707261807	19	0	0	0	0	0	51	4	0	5	65	34	34	22	1	0	4	5	13	22	6	4	0	0	23	36	0	0	0	0	-1	1	3	11	20	0	0	0	0	0	0	0	0	0	0	42	25	-1	-11	22	15	11	4	7	0
1707261822	19	0	0	0	0	0	51	4	0	5	65	34	33	22	1	0	4	5	13	22	6	4	0	0	23	36	0	0	0	0	-1	1	3	11	20	0	0	0	0	0	0	0	0	0	0	42	25	-1	-11	22	15	11	4	7	0
1707261842	19	0	0	0	0	0	51	4	0	5	65	34	36	22	1	0	4	5	13	22	6	4	0	0	23	36	0	0	0	0	-1	1	3	11	20	0	0	0	0	0	0	0	0	0	0	42	25	-1	-11	22	15	11	4	7	0
1707261903	19	0	0	0	0	0	51	4	0	5	65	34	36	22	1	0	4	5	13	22	6	4	0	0	23	36	0	0	0	0	-1	1	3	11	20	0	0	0	0	0	0	0	0	0	0	42	25	-1	-11	22	15	11	4	7	0
1707261944	19	0	0	0	0	0	51	4	0	5	65	34	34	22	1	0	4	5	13	22	6	4	0	0	23	36	0	0	0	0	-1	1	3	11	20	0	0	0	0	0	0	0	0	0	0	42	25	-1	-11	22	15	11	4	7	0
1707262004	19	0	0	0	0	0	51	4	0	5	65	34	35	22	1	0	4	5	13	22	6	4	0	0	23	36	0	0	0	0	-1	1	3	11	20	0	0	0	0	0	0	0	0	0	0	42	25	-1	-11	22	15	11	4	7	0
1707262107	19	0	0	0	0	0	51	3	0	4	63	34	35	22	1	0	4	5	13	22	6	4	0	0	23	36	0	0	0	0	-1	1	3	11	20	0	0	0	0	0	0	0	0	0	0	42	25	-1	-11	22	15	11	4	7	0
1707262125	19	0	0	0	0	0	52	3	0	4	63	34	36	22	1	0	4	5	13	22	6	4	0	0	23	36	0	0	0	0	-1	1	3	11	20	0	0	0	0	0	0	0	0	0	0	42	25	-1	-11	22	15	11	4	7	0
1707262142	19	0	0	0	0	0	51	3	0	4	63	34	35	22	1	0	4	5	13	22	6	4	0	0	23	36	0	0	0	0	-1	1	3	11	20	0	0	0	0	0	0	0	0	0	0	42	25	-1	-11	22	15	11	4	7	0
1707262337	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
