date	ADMI1101_10126	ADMI1102_11411	ADMI1102_25454	ADMI1102_25458	ADMI1102_25791	ADMI1190_20646	ADMI1190_23025	ADMI1190_27847	ADMI1203_10131	ADMI1203_11123	ADMI1203_12118	ADMI1203_20816	ADMI1401_11017	ADMI1401_11019	ADMI1401_11021	ADMI1401_11022	ADMI1401_12174	ADMI1401_13124	ADMI1401_13125	ADMI1590_17185	ADMI1590_20917	ADMI1590_23194	ADMI1590_23195	ADMI1602_11013	ADMI1602_11014	ADMI1602_11015	ADMI1602_13920	ADMI1602_17132	ADMI1602_18587	ADMI1602_20817	ADMI1602_28720	ADMI1603_10133	ADMI1603_10134	ADMI1603_23026	ADMI1603_23082	ADMI1603_27876	ADMI2104B_11547	ADMI2104B_13121	ADMI2104B_21174	ADMI2104B_25486	ADMI2106_10135	ADMI2106_10637	ADMI2106_11216	ADMI2107_10427	ADMI2107_10502	ADMI2204_11425	ADMI2204_18596	ADMI2204_25488	ADMI2205_10138	ADMI2205_11426	ADMI2206_14896	ADMI2207_12119	ADMI2207_13554	ADMI2207_14899	ADMI2207_23649	ADMI2301_10139	ADMI2301_10665	ADMI2301_13266	ADMI2301_13604	ADMI2301_18597	ADMI2301_25473	ADMI2302_10140	ADMI2302_10180	ADMI2302_20900	ADMI2403_11122	ADMI2403_13207	ADMI2403_13556	ADMI2501_20826	ADMI2501_20827	ADMI2501_23161	ADMI2501_28711	ADMI2556_23711	ADMI2556_27904	ADMI2557_20657	ADMI2557_20856	ADMI2557_20858	ADMI2605_14023	ADMI2605_14031	ADMI2605_14032	ADMI2605_14085	ADMI2605_23646	ADMI2605_27948	ADMI2801_10142	ADMI2801_13011	ADMI2801_13746	ADMI3107_28075	ADMI3107_28076	ADMI3109_13122	ADMI3110_10837	ADMI3110_10859	ADMI3110_12462	ADMI3110_13560	ADMI3110_14951	ADMI3110_23164	ADMI3122_10144	ADMI3122_13557	ADMI3122_13924	ADMI3122_18608	ADMI3128B_23712	ADMI3133B_13228	ADMI3137_14504	ADMI3138_25265	ADMI3200_10861	ADMI3200_13761	ADMI3200_13762	ADMI3200_27968	ADMI3205_11998	ADMI3207_10145	ADMI3210_21320	ADMI3210_25993	ADMI3237_27974	ADMI3238_23715	ADMI3311_27976	ADMI3313_27977	ADMI3327_27978	ADMI3335_27979	ADMI3336_21324	ADMI3405_10147	ADMI3405_10148	ADMI3405_18615	ADMI3406_27980	ADMI3431_17432	ADMI3502_10149	ADMI3502_10407	ADMI3502_12463	ADMI3502_28691	ADMI3503_23196	ADMI3505_28585	ADMI3601_27982	ADMI3602_28615	ADMI3604_10898	ADMI3606_17433	ADMI3611_23065	ADMI3615_11291	ADMI3701_10150	ADMI3701_11132	ADMI3701_12120	ADMI3705_27984	ADMI3990_13702	ADMI3991_10900
1707242034	0	49	43	43	44	33	37	48	33	31	34	34	29	32	10	18	3	34	22	26	28	28	30	17	17	19	16	18	17	20	0	43	42	43	41	40	64	72	76	76	43	33	35	40	36	45	48	43	27	36	35	16	0	22	20	38	31	37	40	36	14	43	46	40	34	45	32	40	42	42	0	30	31	32	30	31	45	44	41	41	31	43	43	42	41	56	52	29	24	27	27	20	28	28	34	30	29	25	45	36	38	39	81	17	18	15	27	42	29	39	29	34	0	34	35	34	28	39	42	43	25	23	32	36	35	0	0	35	37	10	17	31	21	45	32	29	41	0	197	93
1707242132	0	49	43	43	44	33	37	48	33	31	34	34	29	32	10	18	3	34	22	27	28	27	30	17	17	19	16	18	17	20	0	43	42	43	41	40	64	72	76	76	43	33	35	40	36	45	48	43	27	36	35	16	0	22	20	38	31	37	40	36	14	43	46	40	35	45	32	40	42	42	0	30	31	32	30	31	45	44	41	41	31	43	43	42	41	56	52	29	24	27	27	20	28	28	34	30	29	25	45	36	38	39	81	17	18	15	27	42	29	39	29	34	0	34	35	34	28	39	42	43	25	23	32	36	35	0	0	35	37	10	17	31	21	45	32	28	41	0	197	93
1707242210	0	49	43	43	44	33	37	48	33	31	34	34	29	32	10	18	3	34	22	27	28	27	30	17	17	19	16	18	17	20	0	43	42	43	41	40	64	72	76	76	43	33	35	40	36	45	48	43	27	35	35	16	0	22	20	38	31	36	40	36	14	43	46	40	35	45	32	40	42	42	0	30	31	32	29	31	45	44	41	41	31	43	43	42	41	56	52	29	24	26	27	19	28	28	34	30	29	25	45	36	38	39	81	17	18	15	27	42	29	39	29	34	0	34	35	34	28	39	42	43	25	23	32	36	35	0	0	35	37	10	17	31	21	45	32	28	41	0	197	93
1707242307	0	49	44	43	44	33	37	48	33	31	34	34	29	32	10	18	3	34	22	27	28	27	30	17	17	19	15	18	17	20	0	43	42	43	41	40	63	72	76	76	43	33	35	40	36	45	48	43	27	35	35	16	0	22	20	38	31	36	40	36	14	43	46	40	35	45	32	40	42	42	0	30	31	32	29	31	45	44	41	41	31	43	43	42	41	56	52	29	24	26	27	19	28	28	34	30	29	25	45	35	38	39	80	17	18	15	27	42	29	39	29	34	0	34	35	34	28	39	42	43	25	23	32	35	35	0	0	35	37	10	17	31	21	45	32	28	41	0	197	93
1707242329	0	49	44	43	44	33	37	48	33	31	34	34	29	32	10	18	3	34	22	27	28	27	30	17	17	19	15	18	17	20	0	43	42	43	41	40	63	72	76	76	43	33	35	40	36	45	48	43	27	35	35	16	0	22	20	38	31	36	40	36	14	43	46	40	35	45	32	40	42	42	0	30	31	32	29	31	45	44	41	41	31	43	43	42	41	56	52	29	24	26	27	19	28	28	34	30	29	25	45	35	38	39	80	17	18	15	27	42	29	39	29	34	0	34	35	34	28	39	42	43	25	23	32	35	35	0	0	35	37	10	17	31	21	45	32	28	41	0	197	93
1707242343	0	49	44	43	44	33	37	48	33	31	34	34	29	32	10	18	3	34	22	27	28	27	30	17	17	19	15	18	17	20	0	43	42	43	41	40	63	72	76	76	43	33	35	40	36	45	48	43	27	35	35	16	0	22	20	38	31	36	40	36	14	43	46	40	35	45	32	40	42	42	0	30	31	32	29	31	45	44	41	41	31	43	43	42	41	56	52	29	24	26	27	19	28	28	34	30	29	25	45	35	38	39	80	17	18	15	27	42	29	39	29	34	0	34	35	34	28	39	42	43	25	23	32	35	35	0	0	35	37	10	17	31	21	45	32	28	41	0	197	93
1707250748	0	49	44	42	44	33	37	48	33	31	34	34	29	32	10	18	3	34	22	28	28	27	29	17	17	19	15	18	17	20	0	43	42	43	41	40	64	72	76	76	43	33	34	40	36	45	48	43	27	35	35	16	0	22	20	38	32	36	40	36	13	43	46	40	35	45	31	40	42	42	0	30	31	32	29	31	45	44	41	41	31	43	43	42	41	56	51	29	24	25	27	19	28	28	34	30	29	25	45	35	38	39	80	17	18	15	27	42	29	39	29	34	0	34	35	34	28	39	42	43	25	23	33	35	34	0	0	35	37	10	17	31	21	45	31	29	41	0	197	93
1707251027	0	48	41	40	43	32	37	47	33	30	32	34	29	31	9	18	3	33	22	28	27	27	27	12	16	17	7	14	14	19	0	43	42	39	38	39	57	71	73	75	41	30	25	30	27	44	48	42	22	28	28	12	0	21	20	37	26	30	40	35	10	39	39	30	26	45	23	35	38	40	0	28	23	30	25	28	45	42	39	37	26	40	41	38	38	46	29	15	24	17	20	6	27	28	32	21	19	6	37	34	32	38	53	12	15	10	19	31	10	38	27	34	0	33	34	33	24	37	32	36	25	14	23	18	23	0	0	33	36	10	13	22	19	40	14	18	37	0	195	81
1707251309	0	48	39	37	43	30	37	44	32	27	31	34	27	31	8	18	2	33	20	26	23	27	25	0	12	15	0	10	9	15	0	41	38	36	36	34	52	67	73	75	41	25	19	28	18	38	46	39	1	24	21	12	0	21	19	37	18	26	40	34	4	34	29	10	13	44	7	29	34	31	0	20	10	20	16	23	45	42	36	27	17	41	36	35	30	41	4	12	21	1	9	0	22	27	32	13	16	0	30	30	30	38	36	10	15	8	16	14	0	36	24	34	0	32	33	33	24	31	24	31	23	8	9	0	6	0	0	35	33	10	12	8	16	38	1	3	31	0	192	70
1707251351	0	48	39	37	43	30	37	44	32	27	31	34	27	31	8	18	2	33	20	26	23	27	25	0	12	15	0	10	9	15	0	41	38	36	36	34	52	67	73	75	41	25	19	28	18	38	46	39	1	24	21	12	0	21	19	37	18	26	40	34	4	34	29	10	13	44	6	29	34	31	0	20	10	20	16	23	45	42	36	27	18	41	36	35	30	41	4	12	21	1	8	0	22	27	32	13	16	0	30	30	30	38	36	10	15	8	16	13	1	36	24	34	0	32	32	33	24	31	24	32	23	8	9	0	6	0	0	35	33	10	12	8	16	38	1	3	31	0	192	69
