date	MADM4001_27004	MADM4001_27337	MADM4001_27338	MADM4005_27005	MADM4005_27331	MADM4005_27332	MADM4051_27006	MADM4052_22491	MADM4052_22492	MADM4052_27329	MADM4052_27330	MADM4053_27007	MADM4053_27321	MADM4053_27343	MADM4053_27344	MADM4053_27345	MADM4053_27346	MADM4100_20293	MADM4103_27008	MADM4103_27322	MADM4103_27323	MADM4152_27009	MADM4152_27326	MADM4152_27327	MADM4153_27010	MADM4211_27011	MADM4211_27324	MADM4250_27012	MADM4250_27333	MADM4250_27334	MADM4251_27013	MADM4251_27335	MADM4251_27336	MADM4355_27014	MADM4355_27325	MADM4450_22489	MADM4450_27328	MADM4550_22470	MADM4551_22469	MADM4903_27015	MADM4903_27319	MADM4903_27339	MADM4903_27340	MADM4903_27341	MADM4903_27342	MADM4909_21140	MADM4918_27016	MADM4919_27017	MADM4920_27018	MADM4921_27019
1707241129	40	40	40	40	40	40	40	20	20	20	20	20	20	20	20	20	20	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	45	45	20	20	20	20	20	20	5	15	20	20	5
1707241147	32	31	5	32	23	5	31	0	3	0	8	17	18	14	15	15	18	31	32	0	21	34	13	0	34	7	8	33	19	22	33	0	31	16	0	16	2	33	30	16	20	18	11	16	16	3	10	18	13	5
1707241221	30	25	2	30	19	1	29	0	4	0	5	16	17	12	12	10	16	28	28	0	19	30	8	0	30	6	7	30	9	20	30	0	23	12	0	14	1	21	18	14	19	17	4	16	13	3	5	18	8	5
1707241307	27	23	1	27	18	0	26	0	4	0	4	15	17	10	11	9	15	25	24	0	19	27	8	0	27	6	7	27	7	19	27	0	22	12	0	14	1	17	15	13	19	17	3	13	12	3	4	18	7	5
1707241415	27	22	0	27	17	0	25	0	4	0	4	15	17	11	11	7	15	25	24	0	19	27	8	0	27	6	7	27	6	18	27	0	21	12	0	14	1	17	14	13	19	17	1	14	12	3	4	18	6	5
1707241512	27	20	0	27	15	0	25	0	4	0	4	15	17	9	11	5	14	25	24	0	19	27	8	0	27	6	7	27	4	18	27	0	17	12	0	14	1	16	13	13	18	17	0	13	10	3	4	18	5	5
1707241556	26	18	0	26	14	0	24	0	4	0	4	14	17	9	11	5	14	24	23	0	19	26	8	0	26	6	7	26	3	18	26	0	16	12	0	14	0	15	12	12	18	17	0	13	10	3	4	18	3	5
1707241623	25	18	0	25	14	0	23	0	4	0	4	13	16	8	11	5	13	23	22	0	19	25	8	0	25	6	7	25	2	19	25	0	16	12	0	14	0	14	11	12	16	17	0	13	8	3	4	17	3	5
1707241717	25	18	0	25	14	0	23	0	4	0	4	11	16	8	11	5	13	23	22	0	19	25	8	0	25	6	7	25	1	19	25	0	16	11	0	14	0	12	8	10	16	17	0	13	8	3	3	17	1	5
1707241814	24	17	0	24	13	0	21	0	4	0	4	11	15	6	11	5	13	21	20	0	19	23	8	0	23	6	7	23	1	19	23	0	15	11	0	14	0	11	7	9	15	17	0	13	7	3	2	17	1	5
1707241848	24	17	0	24	13	0	21	0	4	0	4	10	15	6	11	5	13	21	19	0	19	22	8	0	23	6	7	23	1	19	23	0	15	11	0	14	0	11	7	8	15	17	0	13	7	3	2	17	1	5
1707242034	23	16	0	24	12	0	21	0	4	0	4	11	14	5	11	5	13	21	19	0	19	22	8	0	23	6	7	23	0	19	23	0	14	11	0	14	0	9	5	8	15	17	0	13	6	3	2	17	0	5
1707242132	22	15	1	23	12	0	20	0	4	0	4	11	14	5	11	4	13	20	18	0	19	21	8	0	22	6	7	22	0	19	22	0	13	10	0	14	0	8	5	8	15	17	0	12	6	3	2	17	0	5
1707242210	22	15	1	23	12	0	20	0	4	0	4	11	14	5	11	4	13	20	18	0	19	21	8	0	22	6	7	22	0	19	22	0	13	10	0	14	0	8	5	8	15	17	0	12	6	3	2	17	0	5
1707242307	22	14	1	23	11	0	20	0	4	0	4	11	14	5	11	4	12	20	18	0	19	21	8	0	22	6	7	22	0	18	22	0	12	10	0	14	0	8	5	8	15	17	0	12	5	3	2	17	0	5
