date	HIST1101_12078	HIST1102_10079	HIST1417B_11546	HIST1605A_10600	HIST1706B_16151	HIST2101_28103	HIST2104_27497	HIST2202B_27829	HIST2204A_13418	HIST2204A_18530	HIST2205A_10632	HIST2300B_11222	HIST2303B_28020	HIST2305B_27754	HIST2333B_27771	HIST2406B_27743	HIST2412B_21787	HIST2420A_25632	HIST2420A_28736	HIST2422A_13109	HIST2500B_28351	HIST3101_10102	HIST3103_10974	HIST3104_12092	HIST3106_13419	HIST3400_28612	HIST3409_25629	HIST3513_28611	HIST3600_13157	HIST3990_15628	HIST3991_13420	HIST3992_13421	HIST3993_11314	HIST3996_28653	HIST3997_28654	HIST4705_12516	HIST4707_12519	HIST4709_11673	HIST4710_14125	HIST4800_25564	HIST4801_12524	HIST4802_11623	HIST4990_13797	HIST6007_21797	HIST6008_12048	HIST6970_12533	HIST6980_12534	HIST6981_12544	HIST6982_12545	HIST6983_12549	HIST6984_12550	HIST6985_12551	HIST6990_23570	HIST6997_21799
1707251927	15	21	39	49	72	16	6	4	0	34	71	20	2	40	73	16	66	22	0	47	19	11	-1	8	10	0	3	0	10	10	10	9	7	0	0	19	20	62	15	15	23	19	15	2	8	8	14	13	13	14	13	14	5	0
1707252025	15	21	39	49	72	16	6	4	0	34	71	20	2	40	73	16	66	22	0	46	20	11	-1	8	10	0	3	0	10	10	10	9	7	0	0	19	20	62	15	15	23	19	15	2	8	8	14	13	13	13	13	14	5	0
1707252100	15	21	40	49	72	16	6	4	0	34	71	20	2	40	73	16	66	22	0	46	20	11	-1	8	10	0	3	0	10	10	10	9	7	0	0	19	20	62	15	15	23	19	15	2	8	8	14	13	13	13	13	14	5	0
1707252124	15	21	40	49	72	16	6	4	0	34	71	20	2	40	73	16	66	22	0	46	20	11	-1	8	10	0	3	0	10	10	10	9	7	0	0	19	20	62	15	15	23	19	15	2	8	8	14	13	13	13	13	14	5	0
1707252143	15	21	40	49	72	16	6	4	0	34	71	20	2	40	73	16	66	22	0	46	20	11	-1	8	10	0	3	0	10	10	10	9	7	0	0	19	20	62	15	15	23	19	15	2	8	8	14	13	13	13	13	14	5	0
1707252259	15	21	40	49	72	16	6	4	0	34	71	20	1	40	73	16	66	22	0	46	22	11	-1	8	10	0	3	0	10	10	10	9	7	0	0	19	20	62	15	15	23	19	15	2	8	8	14	13	13	13	13	14	5	0
1707252332	15	21	40	49	72	16	6	5	0	34	72	20	1	40	73	16	65	22	0	46	22	11	-1	8	10	0	3	0	10	10	10	9	6	0	0	19	20	62	15	15	23	19	15	2	8	8	14	13	13	13	13	14	5	0
1707260820	14	20	40	60	72	12	5	2	9	36	83	18	1	39	73	13	65	25	0	54	21	11	-1	8	10	0	3	0	10	10	10	9	6	0	0	19	20	62	15	15	23	19	15	2	8	8	14	13	13	13	13	14	5	0
1707261009	6	16	29	3	72	0	3	0	0	18	73	15	0	36	72	0	63	13	0	43	13	11	-1	8	10	0	3	0	10	10	10	9	6	0	0	19	20	62	15	15	23	19	15	2	8	8	14	13	13	13	13	14	5	0
1707261047	5	15	27	0	72	0	3	0	0	12	69	15	0	34	72	0	60	10	0	41	14	11	-1	8	10	0	3	0	10	10	10	9	6	0	0	19	20	62	15	15	23	19	15	2	8	8	14	13	13	13	13	14	5	0
