date	ANTR1001_26230	ANTR1101_10265	ANTR1104_11519	ANTR1104_11544	ANTR1105A_20115	ANTR1106B_17435	ANTR1118A_26231	ANTR1128A_26232	ANTR1130B_26233	ANTR1134B_21330	ANTR1135A_21331	ANTR1201_10266	ANTR1202B_26234	ANTR1203A_13368	ANTR1401_20854	ANTR2102_11520	ANTR2104_26235	ANTR2105_26236	ANTR2119_27372	ANTR2120_27371	ANTR2202_26237	ANTR2301_26238	ANTR3006_21135	ANTR3011_28362	ANTR3014_25997	ANTR3015_27957	ANTR3101_26245	ANTR3172_26246	ANTR3173_26247	ANTR3177_14177	ANTR3178_14178	ANTR3179_14179	ANTR3180_17445	ANTR3183_28734	ANTR3184_28726	ANTR3185_10673	ANTR3188_28735	ANTR3190_17446	ANTR3191_11522	ANTR3193_11523	ANTR3194_10103	ANTR3195_10104	ANTR3198_28652	ANTR3600_20122	ANTR3990_19146	ANTR3992_11467	ANTR3993_11524	ANTR4108_28548	ANTR4109_28547	ANTR4137_11163	ANTR4138_17449	ANTR4224_10675	ANTR4225_10268	ANTR4500_25566	ANTR4974_28647	ANTR4975_28648	ANTR4976_28649	ANTR4977_28650	ANTR4990_14000	ANTR6061_28545	ANTR6062_17452	ANTR6063_14019	ANTR6064_14005	ANTR6065_13586	ANTR6066_13587	ANTR6961_13588	ANTR6962_25569	ANTR6963_25570	ANTR6970_13591	ANTR6971_19151	ANTR6980_13592	ANTR6981_13593	ANTR6982_13594	ANTR6983_15180	ANTR6990_14939	ANTR6991_25353
1707242329	14	41	33	34	42	78	27	12	33	52	34	50	46	30	49	38	49	50	29	24	52	31	15	0	15	15	51	24	23	0	0	0	0	0	0	20	0	5	24	19	8	5	0	5	25	5	24	5	4	9	12	9	8	5	0	0	0	0	14	0	4	4	4	5	5	5	5	5	5	4	4	4	10	14	9	25
1707242343	14	41	33	34	42	78	27	12	33	52	34	50	46	30	49	38	49	50	29	24	52	31	15	0	15	15	51	24	23	0	0	0	0	0	0	20	0	5	24	19	8	5	0	5	25	5	24	5	4	9	12	9	8	5	0	0	0	0	14	0	4	4	4	5	5	5	5	5	5	4	4	4	10	14	9	25
1707250748	14	41	33	34	42	78	27	12	33	52	34	50	46	29	49	38	49	50	29	24	52	31	15	0	15	15	51	24	23	0	0	0	0	0	0	20	0	5	24	19	8	5	0	5	25	5	24	5	4	9	12	9	8	5	0	0	0	0	14	0	4	4	4	5	5	5	5	5	5	4	4	4	10	14	9	25
1707251027	14	40	32	33	62	71	39	19	30	51	50	49	43	44	48	35	39	44	27	20	43	25	15	0	15	14	47	21	18	0	0	0	0	0	0	20	0	4	20	18	7	5	0	5	25	4	19	5	2	9	12	9	8	5	0	0	0	0	14	0	4	4	4	5	4	5	5	5	5	4	4	4	10	12	9	25
1707251309	14	40	32	33	62	68	37	13	28	49	43	49	40	39	48	31	35	40	26	18	39	23	14	0	15	14	43	14	13	0	0	0	0	0	0	18	0	4	17	15	7	5	0	5	25	4	19	5	2	9	12	9	8	5	0	0	0	0	14	0	4	4	4	5	4	5	5	5	5	4	4	3	10	12	9	25
1707251351	14	40	32	33	62	68	37	13	28	49	43	49	40	39	48	31	35	39	26	18	39	23	14	0	15	14	43	14	13	0	0	0	0	0	0	18	0	4	17	15	7	5	0	5	25	4	19	5	3	9	12	9	8	5	0	0	0	0	14	0	4	4	4	5	4	5	5	5	5	4	4	3	10	12	9	25
1707251441	14	37	30	32	62	62	37	12	26	46	39	48	36	38	45	28	25	29	24	15	32	19	12	0	15	14	33	8	4	0	0	0	0	0	0	17	0	3	17	15	7	5	0	5	25	4	19	4	3	9	12	9	8	5	0	0	0	0	14	0	4	4	4	5	4	5	5	5	5	4	4	3	10	12	9	25
1707251521	14	37	29	31	61	60	36	11	27	46	38	48	33	38	45	28	21	26	22	13	30	18	11	0	15	14	31	7	0	0	0	0	0	0	0	17	0	3	17	15	7	5	0	5	25	4	19	3	3	9	12	9	8	5	0	0	0	0	14	0	4	4	4	5	4	5	5	5	5	4	4	3	10	12	8	24
1707251605	14	38	28	31	60	58	35	11	26	46	37	48	31	37	45	28	19	24	23	13	28	17	11	19	15	14	28	6	0	0	0	0	0	0	0	17	0	3	17	15	7	5	0	5	25	4	19	4	3	9	12	9	8	5	0	0	0	0	14	0	4	4	4	5	4	15	5	5	5	4	4	3	10	12	8	24
1707251658	14	38	25	26	58	52	34	6	25	44	33	47	28	36	45	27	15	19	23	11	25	16	11	18	15	13	22	5	0	0	0	0	0	0	0	17	0	3	17	15	7	5	0	5	25	4	18	3	2	9	12	9	8	5	0	0	0	0	14	0	4	4	4	5	4	15	5	5	5	4	4	3	10	12	8	21
