date	MBIO0000_20489	MBIO1100_11328	MBIO1100_11401	MBIO1100_11402	MBIO1100_11403	MBIO1100_11404	MBIO1100_11405	MBIO1100_11943	MBIO1100_14811	MBIO1100_18437	MBIO1100C_27078	MBIO1100C_27646	MBIO1100C_27647	MBIO1100C_27649	MBIO1100C_27650	MBIO1100C_27651	MBIO1100C_27653	MBIO1100C_27654	MBIO1100C_27656	MBIO1100C_27657	MBIO1100C_27659	MBIO1100C_27662	MBIO1100C_27663	MBIO1100C_27665	MBIO1100C_27668	MBIO1100C_27676	MBIO1100C_27678	MBIO1100C_27679	MBIO1101_10364	MBIO1101_10365	MBIO1101_10366	MBIO1101_10616	MBIO1101_10617	MBIO1101_10618	MBIO1101_10619	MBIO1101_10624	MBIO1101_10993	MBIO1101_11095	MBIO1101_11125	MBIO1101_13566	MBIO1101_18442	MBIO1280A_10940	MBIO1280A_13697	MBIO1282B_12054	MBIO1282B_12093	MBIO2100_10704	MBIO2101_10246	MBIO2101_10574	MBIO2101_13330	MBIO2101_26141	MBIO2102_12593	MBIO2102_13952	MBIO2102_26178	MBIO2102C_12458	MBIO2102C_12614	MBIO2102C_13625	MBIO2102C_27723	MBIO2102C_27724	MBIO2103_10508	MBIO2103_10804	MBIO2103_10887	MBIO2103_11057	MBIO2103_13004	MBIO2103_13569	MBIO2103_13570	MBIO2103_21243	MBIO2103_26180	MBIO2300_10110	MBIO2301_11953	MBIO2301_13742	MBIO2302_10111	MBIO2303_10362	MBIO2303_21242	MBIO2304_12138	MBIO2305_12139	MBIO2305_13760	MBIO2306_10112	MBIO2307_10113	MBIO2307_18998	MBIO2310_22943	MBIO2310C_22945	MBIO2400_10114	MBIO2401_10115	MBIO2401_10177	MBIO3105_28212	MBIO3502_14812	MBIO3503_18438	MBIO3503_18439	MBIO3513_13107	MBIO3518_13108	MBIO3600_10117	MBIO3601_10363	MBIO3608_27777	MBIO3912_11329	MBIO3913_12323	MBIO3914_13699	MBIO3915_22839	MBIO3991_10214	MBIO3993_12055
1707251727	13	50	72	49	28	37	70	42	78	71	37	24	26	40	32	21	21	8	10	11	33	39	31	34	18	41	31	30	36	54	36	20	13	55	58	55	52	24	28	52	0	18	15	16	23	54	23	19	10	24	99	56	61	39	39	40	42	41	23	19	19	29	30	30	21	22	24	32	16	12	34	13	21	37	19	17	22	11	19	67	67	60	28	19	27	21	21	0	23	23	18	10	24	12	10	0	19	18	16
1707251900	13	50	72	49	28	37	70	42	78	71	37	24	26	40	32	21	21	8	10	11	33	39	31	34	18	41	31	30	34	54	36	21	13	55	58	55	52	24	28	52	1	17	15	16	22	54	23	19	10	24	99	56	61	39	39	40	42	41	23	19	19	29	30	30	21	22	24	32	16	12	34	13	21	37	19	17	22	11	19	67	67	60	28	19	27	21	21	0	23	23	18	10	24	12	10	0	19	18	16
1707251927	13	50	72	49	28	37	70	42	78	71	37	24	26	40	32	21	21	8	10	11	33	39	31	34	18	41	31	30	34	54	36	21	13	55	58	55	52	24	28	52	1	17	15	16	22	54	23	19	10	24	99	56	61	39	39	40	42	41	23	19	19	29	30	30	21	22	24	32	16	12	34	13	21	37	19	17	22	11	19	67	67	60	28	19	27	21	21	0	23	23	18	10	24	12	10	0	19	18	16
1707252025	13	50	72	49	28	37	70	42	78	71	37	24	26	40	32	21	21	8	10	11	33	39	31	34	18	41	31	30	34	54	36	21	13	55	58	55	52	24	28	52	1	17	14	16	22	54	23	19	10	24	99	56	61	39	39	40	42	41	23	19	19	29	30	30	21	22	24	32	16	12	34	13	21	36	19	16	22	11	19	67	67	60	28	19	27	21	21	0	23	23	18	10	24	12	10	0	19	18	16
1707252100	13	50	72	49	28	37	70	42	78	71	37	24	26	40	32	21	21	8	10	11	33	39	31	34	18	41	31	30	34	54	36	21	13	55	58	55	52	24	28	52	1	17	14	16	22	54	23	19	10	24	99	56	61	39	39	40	42	41	23	19	19	29	30	30	21	22	24	33	16	13	34	13	21	36	19	16	22	11	19	67	67	60	28	19	27	21	21	0	23	23	18	10	24	12	10	0	19	18	16
1707252124	13	50	72	49	28	37	70	42	78	71	37	24	26	40	32	21	21	8	10	11	33	39	31	34	18	41	31	30	34	54	36	21	13	55	58	55	52	24	28	52	1	17	14	16	22	54	23	19	10	24	99	56	61	39	39	40	42	41	23	19	19	29	30	30	21	22	24	33	16	13	34	13	21	36	19	16	22	11	19	67	67	60	28	19	27	21	21	0	23	23	18	10	24	12	10	0	19	18	16
1707252143	13	50	72	49	28	37	70	42	78	71	37	24	26	40	32	21	21	8	10	11	33	39	31	34	18	41	31	30	34	54	36	21	13	55	58	55	52	24	28	52	1	18	14	16	22	54	23	19	10	24	99	56	61	39	39	40	42	41	23	19	19	29	30	30	21	22	24	33	16	13	34	13	21	36	19	16	22	11	19	67	67	60	28	19	27	21	21	0	23	23	18	10	24	12	10	0	19	18	16
1707252259	13	50	72	49	27	38	70	42	78	71	37	24	26	40	32	21	21	8	9	11	34	39	31	34	18	41	31	30	34	54	36	20	13	55	58	55	53	24	28	52	1	18	14	16	22	54	23	19	10	24	99	56	61	39	39	40	42	41	23	19	19	29	30	30	21	22	24	33	16	13	34	13	21	36	19	16	22	11	19	67	67	60	28	19	27	21	21	0	23	23	18	10	24	12	10	0	19	18	16
1707252332	13	50	72	49	27	38	70	42	78	71	37	24	26	40	32	21	21	8	9	11	34	39	31	34	18	41	31	30	34	54	36	20	13	55	58	55	53	24	28	52	1	18	14	16	22	54	23	19	10	24	99	56	61	39	39	40	42	41	23	19	19	29	30	30	21	22	24	33	16	13	34	13	21	36	19	16	22	11	19	67	67	60	28	19	27	21	21	0	23	23	18	10	24	12	10	0	19	18	16
1707260820	13	45	72	48	23	37	69	42	78	71	37	22	23	40	32	21	20	6	7	10	34	38	31	34	18	41	31	30	30	54	34	19	13	55	58	55	52	22	27	52	1	18	18	13	21	46	21	18	6	23	99	55	59	39	38	38	42	41	22	19	19	28	30	29	21	22	24	30	16	10	34	13	21	34	18	15	17	8	16	67	67	55	26	16	25	21	21	0	20	20	16	8	24	12	10	0	19	18	16
