date	LITE1100_13313	LITE1325_26978	LITE1326B_24639	LITE1327_26979	LITE1400_11089	LITE1401_12052	LITE1505B_26980	LITE1573A_22021	LITE1579B_26982	LITE1609A_26983	LITE1610A_27910	LITE1611_11197	LITE1611_11198	LITE1611_11199	LITE1611_11200	LITE1611_11201	LITE1611_11202	LITE1611_11203	LITE1611_11204	LITE1611_11205	LITE1611_11206	LITE1611_11207	LITE1611_11208	LITE1611_11552	LITE1611_12086	LITE1611_12176	LITE1611_12177	LITE1611_12190	LITE1611_12387	LITE1611_13498	LITE1611_16404	LITE1611_16408	LITE1611_16410	LITE1611_16411	LITE1611_20505	LITE1611_20508	LITE1611_20510	LITE1611_20511	LITE1611_20518	LITE1611_20523	LITE1611_23104	LITE1611_23105	LITE1611_23392	LITE1611_25285	LITE1611_25287	LITE1611_26027	LITE1611_27849	LITE1611_28138	LITE1611_28659	LITE1614_14087	LITE2104_26984	LITE2105_26985	LITE2303_26986	LITE2304B_26987	LITE2312_26988	LITE2405_11188	LITE2406_12257	LITE2407_13470	LITE2408_13471	LITE2523B_26989	LITE2526_27285	LITE2534B_26990	LITE2568B_26991	LITE2569B_26992	LITE2574B_26993	LITE2580B_26994	LITE2606_27911	LITE2616_26995	LITE2620_26996	LITE2672_26997	LITE3330_28608	LITE3347_26999	LITE3402_11595	LITE3405_13435	LITE3526_27000	LITE3602_24659	LITE3603_24660	LITE3616_27002	LITE3617_27913	LITE3903_10694	LITE3904_10821	LITE3905_24662	LITE3993_10936
1707250748	42	53	71	46	21	24	59	99	37	32	43	0	23	22	0	24	16	2	0	5	16	18	23	16	1	4	13	15	0	8	2	17	13	21	11	10	1	0	4	22	17	22	16	24	14	24	3	24	-10	30	58	54	53	78	55	23	19	20	13	22	49	25	63	26	47	55	18	18	15	23	19	17	20	18	29	5	5	18	19	6	2	5	8
1707251027	40	49	67	43	20	24	58	141	24	51	66	0	23	22	0	24	16	2	0	3	16	18	23	16	1	4	13	15	0	8	4	17	13	21	11	9	2	0	4	22	17	22	16	24	14	24	3	24	-11	30	54	49	48	75	52	23	18	20	10	21	47	24	59	22	46	52	18	18	14	17	12	8	17	17	25	5	5	17	14	6	2	5	8
1707251309	40	46	62	41	20	24	56	136	17	48	66	0	23	22	0	24	15	2	0	3	16	18	23	16	1	4	13	15	0	8	4	17	13	20	11	8	0	0	4	22	17	22	16	24	14	24	3	24	-11	30	52	45	45	71	49	22	17	19	9	19	46	20	57	19	44	50	17	17	11	12	6	0	16	16	25	4	4	15	12	6	2	5	8
1707251351	40	46	62	41	20	24	56	135	17	48	66	0	23	22	0	24	15	2	0	3	16	18	23	16	1	4	13	15	0	8	3	17	13	20	11	8	0	0	4	22	17	22	16	24	14	24	3	24	-11	30	52	45	45	71	49	22	17	19	9	19	46	20	57	19	44	50	17	17	11	12	6	0	16	16	26	4	4	15	12	6	2	5	8
1707251441	40	45	62	40	20	24	55	134	13	47	66	0	23	22	0	24	15	2	0	3	16	18	23	16	1	4	13	15	0	8	4	17	13	20	11	8	0	0	4	22	17	22	16	24	14	23	3	24	-11	29	51	45	45	70	46	18	17	16	9	18	42	20	54	19	44	48	17	17	11	11	0	0	13	15	26	4	4	11	6	6	2	5	8
1707251521	40	45	61	40	20	24	54	132	8	45	65	0	23	22	0	24	14	2	0	3	16	18	23	16	1	4	13	15	0	8	4	17	13	20	11	8	0	0	4	22	17	22	16	24	14	23	3	24	-12	29	51	44	45	69	45	18	17	16	9	17	42	20	54	18	43	47	16	17	10	10	0	0	13	15	26	4	4	11	8	6	2	5	8
1707251605	38	44	61	40	20	24	50	128	4	43	65	0	23	22	0	24	13	1	0	3	16	18	23	16	1	4	13	15	0	8	4	17	13	20	11	8	0	0	4	22	17	22	16	24	14	23	3	24	-12	29	50	44	44	66	45	18	16	15	9	15	41	20	54	17	43	45	16	17	9	10	0	0	13	15	26	4	4	10	7	6	2	5	8
1707251658	37	43	61	38	19	21	43	120	0	41	64	0	23	22	0	24	13	1	0	3	16	18	22	16	1	4	13	15	1	8	4	17	13	20	11	8	0	0	4	22	17	21	16	24	14	23	1	24	-12	29	45	42	38	58	42	16	16	12	9	14	38	20	50	16	42	42	16	17	8	10	0	0	11	14	24	4	4	6	1	6	2	5	8
1707251727	37	42	61	38	19	21	43	120	0	40	64	0	23	22	0	24	13	1	0	3	16	17	22	16	1	4	13	14	1	8	4	17	13	20	11	8	0	0	4	22	17	21	16	24	14	23	2	24	-13	29	45	41	37	58	41	16	16	11	9	14	38	20	50	16	42	42	16	17	8	10	0	1	11	14	24	4	4	6	1	6	0	5	6
1707251900	37	42	61	38	19	21	44	120	0	40	65	0	23	22	0	24	13	1	0	3	16	17	22	16	1	4	13	14	1	8	4	17	13	20	11	8	0	0	4	22	17	21	16	24	14	23	2	24	-13	29	45	42	37	58	41	16	16	11	9	13	37	20	50	15	42	42	16	17	7	10	0	0	11	14	24	4	4	6	1	6	-1	5	6
1707251927	37	42	61	38	19	21	44	120	0	40	65	0	23	22	0	24	13	1	0	3	16	17	22	16	1	4	13	14	1	8	4	17	13	20	11	8	0	0	4	22	17	21	16	24	14	23	2	24	-13	29	45	42	37	58	41	16	16	11	9	13	37	20	50	15	42	42	16	17	7	10	0	0	11	14	24	4	4	6	1	6	-1	5	6
1707252025	37	42	61	38	19	21	44	120	0	40	65	0	23	22	0	24	13	1	0	3	16	17	22	16	1	4	13	14	1	8	4	17	13	20	11	8	0	0	4	22	17	21	16	24	14	23	2	24	-13	29	45	42	37	58	41	16	16	11	9	13	37	20	50	15	42	42	16	17	7	10	0	0	11	14	24	4	4	6	1	6	-1	5	6
1707252100	37	42	61	38	19	21	44	121	0	40	65	0	23	22	0	24	13	1	0	3	16	17	22	16	1	4	13	14	1	8	4	17	13	20	11	8	0	0	4	22	17	21	16	24	14	23	2	24	-13	29	45	42	37	58	41	16	16	11	9	13	37	20	50	15	42	42	16	17	7	10	0	0	11	14	24	4	4	6	1	6	-1	5	6
1707252124	37	42	61	38	19	21	44	120	0	40	65	0	23	22	0	24	13	1	0	3	16	17	22	16	1	4	13	14	1	8	4	17	13	20	11	8	0	0	4	22	17	21	16	24	14	23	2	24	-13	29	45	42	37	58	41	16	16	11	9	13	37	20	50	15	42	42	16	17	7	10	0	0	11	14	24	4	4	6	1	6	-1	5	6
1707252143	37	42	61	38	19	21	44	120	0	40	65	0	23	22	0	24	13	1	0	3	16	17	22	16	1	4	13	14	1	8	4	17	13	20	11	8	0	0	4	22	17	21	16	24	14	23	2	24	-13	29	45	42	37	58	41	16	16	11	9	13	37	20	50	15	42	42	16	17	7	10	0	0	11	14	24	4	4	6	1	6	-1	5	6
