date	CISO1200B_13562	CISO1200B_14039	CISO1200B_25005	CISO1500B_13158	CISO1500B_13159	CISO2000_19766	CISO2000_20390	CISO2000_21161	CISO2102_20836	CISO2103_26388	CISO2108_26389	CISO2109_23872	CISO2110_23873	CISO2200_26390	CISO2200_28304	CISO4006_25354	CISO4010_23881	CISO4014_25345	CISO4019_25346	CISO4025_23896	CISO4029_26391	CISO4030_26392	CISO4031_26393	CISO4032_26394	CISO4033_26395	CISO4034_26396	CISO4035_26397	CISO4036_26398	CISO4037_26399	CISO4038_26400	CISO4039_26401	CISO4040_26402	CISO4506_25131	CISO4605_26405	CISO4615_26406	CISO4616_26407	CISO4618_26409	CISO4619_26410	CISO4620_26411	CISO4621_26412	CISO4623_26414	CISO4624_26415	CISO4625_26416	CISO4626_26417	CISO4627_26418	CISO4628_26419	CISO4629_26420	CISO4631_26421	CISO4632_26422	CISO4633_26423	CISO4634_28564	CISO4635_28542	CISO4636_28633	CISO4890_28537	CISO6001_26424	CISO6990_26425
1707251900	33	35	32	13	1	52	44	67	60	41	74	56	30	24	97	25	22	18	20	15	5	6	4	9	5	23	5	8	8	12	17	15	0	9	10	11	15	16	15	15	0	4	25	21	0	-1	0	-3	0	14	24	1	-1	0	6	24
1707251927	33	35	32	13	1	52	44	67	60	41	74	56	30	24	97	25	22	18	20	15	5	6	3	9	5	23	5	8	8	12	17	15	0	9	10	11	15	16	15	15	0	4	25	21	0	-1	0	-3	0	14	24	1	-1	0	6	24
1707252025	33	35	32	13	1	52	44	67	60	41	74	56	30	24	97	25	22	18	20	15	5	6	3	9	5	23	5	8	8	12	17	15	0	9	10	11	15	16	15	15	0	4	25	21	0	-1	0	-3	0	14	24	1	-1	0	6	24
1707252100	33	35	32	13	1	52	44	67	60	41	74	56	30	24	97	25	22	18	20	15	5	6	3	9	5	23	5	8	8	12	17	15	0	9	10	11	15	16	15	15	0	4	25	21	0	-1	0	-3	0	14	24	1	-1	0	6	24
1707252124	33	35	32	13	1	52	44	67	60	41	74	56	30	24	97	25	22	18	20	15	5	6	3	9	5	23	5	8	8	12	17	15	0	9	10	11	15	16	15	15	0	4	25	21	0	-1	0	-3	0	14	24	1	-1	0	6	24
1707252143	33	35	32	13	1	52	44	67	60	41	74	56	30	24	97	25	22	18	20	15	5	6	3	9	5	23	5	8	8	12	17	14	0	9	10	11	15	16	15	15	0	4	25	21	0	-1	0	-3	0	14	24	1	-1	0	6	24
1707252259	32	35	32	13	2	52	44	67	60	41	74	56	30	24	97	25	22	18	20	15	5	6	3	9	5	23	5	8	8	12	17	14	0	9	10	11	15	16	15	15	0	4	25	21	0	-1	0	-3	0	14	24	1	-1	0	6	24
1707252332	32	35	32	13	2	52	44	67	60	41	74	56	30	24	97	25	22	18	20	15	5	6	3	9	5	23	5	8	8	12	17	14	0	9	10	11	15	16	15	15	0	4	25	21	0	-1	0	-3	0	14	24	1	-1	0	6	24
1707260820	31	35	32	11	0	51	44	67	60	39	74	56	30	24	94	25	22	18	20	15	5	6	3	9	5	23	5	8	8	12	17	14	0	9	10	11	15	16	15	15	1	4	25	21	0	-1	0	-3	0	14	24	1	-1	0	6	24
1707261009	26	29	29	3	-1	48	38	64	57	33	71	55	28	22	88	25	22	18	20	15	4	5	3	8	5	23	5	8	8	12	17	14	0	9	9	10	15	17	15	15	0	4	25	21	0	-1	0	-3	0	13	24	1	-1	0	6	24
1707261047	24	28	29	0	-1	44	36	62	55	30	70	53	28	17	86	22	22	18	20	15	4	5	3	8	5	23	5	8	8	11	17	14	0	9	9	10	15	17	15	15	0	4	25	21	0	-1	0	-3	0	13	24	1	-1	0	6	23
1707261116	23	24	29	0	0	44	34	61	55	28	70	53	28	16	83	22	22	18	20	15	4	5	3	8	5	23	5	7	7	11	17	14	0	9	9	10	15	17	15	15	0	4	24	21	0	-1	0	-3	0	13	24	0	-1	0	6	23
1707261144	19	22	26	0	0	44	30	60	53	23	70	52	27	13	82	22	22	18	20	15	3	5	3	8	5	23	5	7	7	11	17	14	1	9	9	10	15	17	15	15	0	4	24	21	0	-1	0	-3	0	13	24	0	-1	0	6	23
1707261213	20	22	25	0	-2	44	30	60	52	22	70	52	27	12	82	21	22	18	20	15	3	4	3	8	5	23	5	7	7	11	17	14	0	9	9	10	15	17	16	15	0	4	24	21	0	-1	-1	-2	0	13	24	0	-1	0	6	22
1707261257	20	22	25	-1	-2	44	30	59	52	22	70	52	27	12	81	21	22	18	20	16	-1	4	3	8	5	21	5	7	7	11	17	14	0	9	9	9	15	16	16	15	0	4	24	21	0	-1	-1	-2	0	12	24	0	-2	0	6	22
1707261315	20	22	25	-1	-2	44	30	59	52	22	70	52	27	12	81	21	22	18	20	16	-1	4	3	8	5	21	5	7	7	11	17	14	0	9	9	9	15	16	16	15	0	4	24	21	-1	-1	-1	-2	-1	12	24	0	-2	0	6	22
1707261354	20	22	25	-1	-2	44	30	59	52	22	70	52	27	12	81	21	22	18	20	16	-1	4	3	8	5	21	5	7	7	11	17	14	0	9	9	7	15	16	16	15	0	4	24	21	-1	-1	-1	-2	-1	12	24	0	-2	0	6	22
1707261538	8	19	10	-1	-2	38	23	51	47	1	64	38	14	0	48	21	22	18	19	16	-1	4	3	8	4	22	5	7	7	11	17	14	0	9	9	8	15	16	16	15	0	4	24	21	-1	-1	-1	-2	-2	12	24	0	-2	0	6	22
1707261603	6	19	10	-1	-2	38	23	50	47	1	63	37	12	0	45	21	22	18	19	16	-1	4	3	8	4	22	5	6	6	10	17	14	0	9	9	8	14	16	16	15	0	4	24	21	-1	-1	-1	-2	-2	12	24	0	-2	0	6	22
1707261646	0	15	0	-1	-2	34	15	41	46	0	63	29	7	0	31	20	22	18	19	15	-1	4	3	8	4	22	5	7	7	10	17	14	0	7	9	8	14	15	16	15	0	4	24	21	-1	-1	-1	-2	-2	12	24	0	-2	0	6	22
1707261709	0	13	0	-1	-2	33	13	41	47	0	63	28	7	0	29	20	22	18	19	15	-1	4	3	8	4	22	5	7	7	9	17	14	0	7	9	8	14	15	16	15	0	4	24	21	-1	-1	-1	-2	-2	12	24	0	-2	0	6	22
1707261733	0	12	0	-1	-2	33	12	41	47	0	63	28	5	0	28	20	22	18	19	15	-1	4	3	8	4	22	5	7	7	9	17	14	0	7	9	8	14	15	16	15	0	4	24	21	-1	-1	-1	-2	-2	12	24	0	-2	0	6	22
1707261807	0	12	0	-1	-2	33	11	41	47	0	63	28	5	0	28	20	22	18	19	15	-1	4	3	8	4	22	5	7	7	9	17	14	0	7	9	8	14	15	16	15	0	3	24	21	-1	-1	-1	-2	-2	12	24	0	-2	0	6	22
1707261822	0	12	0	-1	-2	33	11	41	47	0	63	28	5	0	28	20	22	18	19	15	-1	4	3	8	4	22	5	7	7	9	17	14	0	7	9	8	14	15	16	15	0	3	24	21	-1	-1	-1	-2	-2	12	24	0	-2	0	6	22
1707261842	0	12	0	-1	-2	33	11	41	47	0	63	28	6	0	28	20	22	18	19	15	-1	4	3	8	4	22	5	7	7	9	17	14	0	7	9	8	14	15	16	15	0	3	24	21	-1	-1	-1	-2	-2	12	24	0	-2	0	6	22
1707261903	0	12	0	-1	-2	33	11	41	47	0	63	28	6	0	28	20	22	18	19	15	-1	4	3	8	4	22	5	7	7	9	17	13	0	8	9	8	14	15	16	15	0	3	24	21	-1	-1	-1	-2	-2	12	24	0	-2	0	6	22
1707261944	0	12	0	-1	-2	33	11	41	47	0	63	28	5	0	28	20	22	18	19	15	-1	4	3	8	4	22	5	7	7	9	17	13	0	9	9	8	14	15	16	15	0	2	24	21	-1	-1	-1	-2	-2	12	24	0	-2	0	6	22
1707262004	0	12	0	-1	-2	33	11	41	47	0	63	28	5	0	28	20	22	18	19	15	-1	4	3	8	4	22	5	7	7	9	17	13	0	9	9	8	14	15	16	15	0	2	24	21	-1	-1	-1	-2	-2	12	24	0	-2	0	6	22
1707262107	0	12	0	-1	-2	33	11	41	47	0	63	28	5	0	27	20	22	18	19	14	-1	4	3	8	4	22	5	7	7	9	17	13	0	9	9	8	14	15	16	15	0	2	24	21	-1	-1	-1	-2	-2	12	24	0	-2	0	6	22
1707262125	0	12	0	-1	-2	33	11	41	47	0	63	28	5	0	27	20	22	18	19	14	-1	4	3	8	4	22	5	7	7	9	17	13	0	9	9	8	14	15	16	15	0	2	24	21	-1	-1	-1	-2	-2	12	24	0	-2	0	6	22
1707262142	0	12	0	-1	-2	33	11	40	47	0	63	28	5	0	27	20	22	18	19	14	-1	4	3	8	4	22	5	7	7	9	18	13	0	9	9	8	14	15	16	16	0	2	23	21	-1	-1	-1	-2	-1	12	24	0	-2	0	6	22
1707262337	0	12	0	0	-2	33	11	40	47	0	63	28	5	0	27	20	22	18	19	14	-1	4	3	8	4	22	5	7	7	9	18	13	0	9	9	8	14	15	16	16	0	2	23	21	-1	-1	-1	-2	-1	12	24	0	-2	0	6	22
1707270001	0	12	0	0	-2	33	11	40	47	0	63	28	5	0	27	20	22	18	19	14	-1	4	3	8	4	22	5	7	7	9	18	13	0	9	9	8	14	15	16	16	0	2	23	21	-1	-1	-1	-2	-1	12	24	0	-2	0	6	22
