date	FILO1000B_26686	FILO1010_10019	FILO1100B_26687	FILO1130B_26688	FILO1281A_24207	FILO1292B_24208	FILO1391A_26690	FILO1392A_24211	FILO1398B_26692	FILO2100_26693	FILO2120B_26694	FILO2140_26695	FILO2529_26696	FILO2530_24221	FILO3010_10498	FILO3020_13249	FILO3213_24222	FILO3214_24223	FILO3217_26697	FILO3413_26699	FILO3414_28586	FILO3991_17729	FILO3992_13611	FILO3993_26700	FILO4800_11513	FILO4810_10432	FILO4811_10563	FILO4812_23666	FILO6960_24236	FILO6961_21707	FILO6970_21708	FILO6980_21709	FILO6981_21710	FILO6982_21711	FILO6983_21712	FILO6990_21713
1707261315	17	48	27	17	41	34	43	7	61	18	33	31	27	111	10	6	4	4	14	7	21	0	0	-1	5	1	-5	-1	5	3	0	5	4	5	0	0
1707261354	17	48	26	17	41	34	43	6	61	18	33	31	27	111	10	6	4	4	14	7	21	0	0	-1	5	1	-5	-1	5	3	0	5	4	5	0	0
1707261538	0	31	17	11	30	27	36	0	53	13	28	30	26	111	10	6	4	4	13	8	21	0	0	-1	4	1	-5	-1	5	3	0	5	4	4	0	0
1707261603	0	30	15	9	28	27	35	0	52	12	28	30	26	111	9	6	4	4	13	8	21	0	0	-1	4	1	-5	-1	5	3	0	5	4	4	0	0
1707261646	0	27	9	3	23	25	32	0	52	10	28	29	24	111	9	6	4	4	13	6	21	0	0	-1	4	1	-5	-1	5	3	0	5	4	4	0	0
1707261709	0	24	7	3	20	23	29	0	52	10	26	29	24	110	9	6	4	4	13	6	21	0	0	-1	4	1	-5	-1	5	3	0	5	4	4	0	0
1707261733	0	24	5	3	19	23	26	0	52	10	27	29	24	110	9	6	4	4	13	5	21	0	0	-1	4	1	-5	-1	5	3	0	5	4	4	0	0
1707261807	0	23	5	1	16	24	27	0	52	10	26	29	24	110	9	6	4	4	13	5	21	0	0	-1	4	1	-5	-1	5	3	0	5	4	4	0	0
1707261822	0	23	5	1	16	24	28	0	52	10	26	29	24	110	9	6	4	4	13	5	21	0	0	-1	4	1	-5	-1	5	3	0	5	4	4	0	0
1707261842	0	23	5	1	15	24	27	0	52	10	26	29	24	110	9	6	4	4	13	4	21	0	0	-1	4	1	-5	-1	5	3	0	5	4	4	0	0
1707261903	0	23	5	1	16	24	27	0	52	10	26	29	24	110	9	6	4	4	13	4	21	0	0	-1	4	1	-5	-1	5	3	0	5	4	4	0	0
1707261944	0	23	4	0	17	24	26	0	52	10	25	29	24	110	9	6	4	4	13	4	21	0	0	-1	4	1	-5	-1	5	3	0	5	4	4	0	0
1707262004	0	23	4	1	16	24	26	0	52	10	25	29	24	110	9	6	4	4	13	4	21	0	0	-1	4	1	-5	-1	5	3	0	5	4	4	0	0
1707262107	0	23	3	1	16	24	25	0	52	10	24	29	24	110	9	6	4	4	13	4	21	0	0	-1	4	1	-5	-1	5	3	0	5	4	4	0	0
1707262125	0	23	3	1	16	24	25	0	52	10	24	29	24	110	9	6	4	4	13	4	21	0	0	-1	4	1	-5	-1	5	3	0	5	4	4	0	0
1707262142	0	23	2	0	15	24	25	0	52	10	24	29	23	110	9	6	4	4	13	4	21	0	0	-1	4	1	-5	-1	5	3	0	5	4	4	0	0
1707262337	0	23	2	0	15	24	24	0	52	10	24	29	23	110	9	6	4	4	13	4	21	0	0	-1	4	1	-5	-1	5	3	0	5	4	4	0	0
1707270001	0	23	2	0	15	24	24	0	52	10	24	29	23	110	9	6	4	4	13	4	21	0	0	-1	4	1	-5	-1	5	3	0	5	4	4	0	0
1707270737	0	23	2	0	15	24	24	0	52	10	24	29	23	110	9	6	4	4	13	4	21	0	0	-1	4	1	-5	-1	5	3	0	5	4	4	0	0
1707270816	0	23	2	0	15	24	24	0	52	10	24	29	23	110	9	6	4	4	13	4	21	0	0	-1	4	1	-5	-1	5	3	0	5	4	4	0	0
1707270840	0	23	2	0	15	24	24	0	52	10	24	29	23	110	9	6	4	4	13	4	21	0	0	-1	4	1	-5	-1	5	3	0	5	4	4	0	0
1707270903	0	23	2	0	15	24	24	0	52	10	24	29	23	110	9	6	4	4	13	4	21	0	0	-1	4	1	-5	-1	5	3	0	5	4	4	0	0
1707271009	0	23	3	0	15	24	24	0	51	10	24	29	23	106	9	6	4	4	13	4	21	0	0	-1	4	1	-5	-1	5	3	0	5	4	4	0	0
1707271027	0	23	3	0	15	24	24	0	51	10	24	29	23	99	9	6	4	4	13	4	21	0	0	-1	4	1	-5	-1	5	3	0	5	4	4	0	0
1707271053	0	23	3	0	15	24	23	0	51	10	24	29	23	91	9	6	4	4	13	4	21	0	0	-1	4	1	-5	-1	5	3	0	5	4	4	0	0
1707271136	0	23	3	0	15	24	24	0	51	10	24	29	23	82	9	6	4	4	13	4	21	0	0	-1	4	1	-5	-1	5	3	0	5	4	4	0	0
1707271218	0	23	4	0	15	23	23	0	51	10	24	29	23	80	9	6	4	4	13	4	21	0	0	-1	4	1	-5	-1	5	3	0	5	4	4	0	0
1707271250	0	23	4	0	15	23	23	0	51	10	24	29	23	80	9	6	4	4	13	3	21	0	0	-1	4	1	-5	-1	5	3	0	5	4	4	0	0
1707271309	0	23	4	0	15	23	23	0	51	10	24	29	23	80	9	6	4	4	13	3	21	0	0	-1	4	1	-5	-1	5	3	0	5	4	4	0	0
1707271338	1	23	4	0	15	23	23	0	51	10	24	29	23	80	9	6	4	4	13	3	21	0	0	-1	4	1	-5	-1	5	3	0	5	4	4	0	0
1707271422	0	23	4	0	15	22	23	0	51	10	24	29	23	80	9	6	4	4	13	3	21	0	0	-1	4	1	-5	-1	5	3	0	5	4	4	0	0
1707271448	0	23	4	0	15	21	23	0	51	10	24	29	23	30	9	6	4	4	13	3	21	0	0	-1	4	1	-5	-1	5	3	0	5	4	4	0	0
1707271510	0	23	4	0	14	21	23	0	51	10	24	29	23	30	9	6	4	4	13	3	21	0	0	-1	4	1	-5	-1	5	3	0	5	4	4	-1	0
1707271544	0	22	4	0	14	21	23	0	51	10	24	29	23	30	9	6	4	4	13	3	21	0	0	-1	4	1	-5	-1	5	3	0	5	4	4	-1	0
1707271643	0	22	4	0	14	21	23	0	51	10	24	29	23	30	9	6	4	4	13	3	21	0	0	-1	4	1	-5	-1	5	3	0	5	4	4	-1	0
1707271704	1	22	4	0	14	21	23	0	51	10	24	29	23	30	9	6	4	4	13	3	21	0	0	-1	4	1	-6	-1	5	3	0	5	4	4	-1	0
1707271720	1	22	4	0	14	21	23	0	51	10	24	29	23	30	9	6	4	4	13	3	21	0	0	-1	4	1	-6	-1	5	3	0	5	4	4	-1	0
1707271802	1	22	4	0	14	21	23	0	51	10	24	29	23	30	9	6	4	4	13	3	21	0	0	-1	4	1	-6	-1	5	3	0	5	4	4	-1	0
1707272002	1	22	4	0	14	21	23	0	51	10	24	29	23	30	9	6	4	4	13	3	21	0	0	-1	4	1	-6	-1	5	3	0	5	4	4	-1	0
1707272150	1	22	4	0	14	21	23	0	51	10	24	29	23	30	9	6	4	4	13	3	21	0	0	-1	4	1	-6	-1	5	3	0	5	4	4	-1	0
1707272237	1	22	4	0	14	21	23	0	51	10	24	29	23	30	9	6	4	4	13	3	21	0	0	-1	4	1	-6	-1	5	3	0	5	4	4	-1	0
1707281100	1	22	4	0	14	21	23	0	51	10	24	29	23	30	9	6	4	4	13	3	21	0	0	-1	4	1	-6	-1	5	3	0	5	4	4	-1	0
1707281233	1	22	4	0	15	21	23	0	51	10	24	29	23	30	9	6	4	4	13	3	21	0	0	-1	4	1	-6	-1	5	3	0	5	4	4	-1	0
1707281457	1	22	4	0	15	21	23	0	52	10	24	29	23	30	9	6	4	4	13	3	21	0	0	-1	4	1	-6	-1	5	3	0	5	4	4	-1	0
1707281621	-3	22	4	0	15	21	24	0	52	10	24	29	23	30	9	6	4	4	13	3	21	0	0	-1	4	1	-6	-1	5	3	0	5	4	4	-1	0
1707281911	-3	22	4	-1	15	21	22	1	51	10	24	29	23	30	9	6	4	4	13	3	21	0	0	-1	4	1	-7	-1	5	3	0	5	4	4	-1	0
